BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
178108125,680dffb6cd170b0f79ea09f0f730f0baa9ce73d4,PassedToFailed,passed,824,https://github.com/SmartDataAnalytics/BioKEEN/compare/746482114acb...5eebdb71fc72
178097469,5eebdb71fc72d54eca65c6c5779ab39e45de2fd5,PassedToFailed,failed,379,https://github.com/SmartDataAnalytics/BioKEEN/compare/746482114acb...5eebdb71fc72
153411037,b42b8771352c2fc8961b3502d24ad5f79600aff8,FailedToPassed,failed,350,https://github.com/SmartDataAnalytics/BioKEEN/compare/v0.0.14
140648466,c4c19d0b13d08598f83e1da174a09cec4b5638a1,FailedToPassed,passed,849,https://github.com/SmartDataAnalytics/BioKEEN/compare/v0.0.14
140566083,e36d702d2cd0fc1bc25f42238b3c3ccaa25a6280,PassedToErrored,passed,826,https://github.com/SmartDataAnalytics/BioKEEN/pull/29
140565755,9662d1ade1707b9d5ce124044dc351f97cd6790b,PassedToErrored,errored,79,https://github.com/SmartDataAnalytics/BioKEEN/pull/29
126374199,6902a13d878ff33aab27c8a47343f20c826431fd,FailedToPassed,failed,147,https://github.com/SmartDataAnalytics/BioKEEN/compare/e1f3b4573927...7490784978ed
111440783,7490784978eda00e5dc311ff320bb47afb65a5fb,FailedToPassed,passed,769,https://github.com/SmartDataAnalytics/BioKEEN/compare/e1f3b4573927...7490784978ed
111440783,7490784978eda00e5dc311ff320bb47afb65a5fb,PassedToFailed,passed,769,https://github.com/SmartDataAnalytics/BioKEEN/compare/361bd1f42b46...e1f3b4573927
111440614,e1f3b45739271d5229ce55f1b9968a44ffb11396,PassedToFailed,failed,448,https://github.com/SmartDataAnalytics/BioKEEN/compare/361bd1f42b46...e1f3b4573927
111440395,b440a4514c782cdc5e863a3275329911d0a85716,FailedToPassed,failed,403,https://github.com/SmartDataAnalytics/BioKEEN/compare/v0.0.13
108842963,b6651cc1f305d6f7c890ed3cffcb7b1d74d28c1e,FailedToPassed,passed,760,https://github.com/SmartDataAnalytics/BioKEEN/compare/v0.0.13
