BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
592756654,06489e98d7c918f2eec85a25f0011a1ffc88a43d,FailedToPassed,failed,120,https://github.com/Thenerdstation/mltest/compare/5ae14b45277d...15836497e01a
545390000,15836497e01af7d3197d3d6d86c60d17919ae84e,FailedToPassed,passed,110,https://github.com/Thenerdstation/mltest/compare/5ae14b45277d...15836497e01a
545390000,15836497e01af7d3197d3d6d86c60d17919ae84e,PassedToFailed,passed,110,https://github.com/Thenerdstation/mltest/compare/51eacc97aa45...5ae14b45277d
545388106,5ae14b45277db2676a5cba6ac00db614a7c09478,PassedToFailed,failed,96,https://github.com/Thenerdstation/mltest/compare/51eacc97aa45...5ae14b45277d
541774232,0afa70d48970970a77c0f72ef374e29c4f7f3179,FailedToPassed,failed,134,https://github.com/Thenerdstation/mltest/compare/92f44ff4ec26...5994d8f6746a
476186769,5994d8f6746a5dfc8f53be5cff6ddaa3a6c087b0,FailedToPassed,passed,155,https://github.com/Thenerdstation/mltest/compare/92f44ff4ec26...5994d8f6746a
380016090,fc76abacd9172325360d8303348d981b7fa81288,PassedToErrored,passed,129,https://github.com/Thenerdstation/mltest/pull/5
380016082,48aef64a3dc66a29a3326b6219cae43d32efa050,PassedToErrored,errored,30,https://github.com/Thenerdstation/mltest/pull/5
380016082,48aef64a3dc66a29a3326b6219cae43d32efa050,ErroredToPassed,errored,30,https://github.com/Thenerdstation/mltest/compare/d6281d46607c...aa79e2c7a49e
380014203,aa79e2c7a49e464fb3c8e636cb424a315d2383ae,ErroredToPassed,passed,139,https://github.com/Thenerdstation/mltest/compare/d6281d46607c...aa79e2c7a49e
380014203,aa79e2c7a49e464fb3c8e636cb424a315d2383ae,PassedToFailed,passed,139,https://github.com/Thenerdstation/mltest/compare/f04042c5ea05...d6281d46607c
380012061,d6281d46607c0aa04ff197352e7cee50ce2cac8f,PassedToFailed,failed,145,https://github.com/Thenerdstation/mltest/compare/f04042c5ea05...d6281d46607c
374499988,1f4f961de02dc22861e3d259005a59c3e4f7e7e1,PassedToFailed,passed,135,https://github.com/Thenerdstation/mltest/compare/562b3b92b2de...336d37a82bd8
374481636,336d37a82bd80ac4bba67c3030007d7c60528ebb,PassedToFailed,failed,135,https://github.com/Thenerdstation/mltest/compare/562b3b92b2de...336d37a82bd8
374481636,336d37a82bd80ac4bba67c3030007d7c60528ebb,FailedToPassed,failed,135,https://github.com/Thenerdstation/mltest/compare/be7412f39a49...562b3b92b2de
374477876,562b3b92b2de680a14566f43adbe105ed813c81a,FailedToPassed,passed,129,https://github.com/Thenerdstation/mltest/compare/be7412f39a49...562b3b92b2de
374477876,562b3b92b2de680a14566f43adbe105ed813c81a,PassedToFailed,passed,129,https://github.com/Thenerdstation/mltest/compare/ecea7f9cde40...be7412f39a49
374476352,be7412f39a49c1a0d45ae508f8dd4a31414e77cb,PassedToFailed,failed,110,https://github.com/Thenerdstation/mltest/compare/ecea7f9cde40...be7412f39a49
374467343,ecea7f9cde40058193739572b8b576bee80bd6ff,FailedToPassed,failed,110,https://github.com/Thenerdstation/mltest/compare/9078880a1d6c...fe8719b6c753
374251058,fe8719b6c753945f90a74e12110b0c0af5c0346c,FailedToPassed,passed,136,https://github.com/Thenerdstation/mltest/compare/9078880a1d6c...fe8719b6c753
336356471,94281b045010e8fc4fb26bf4f898dbaac1f3f3db,PassedToFailed,passed,57,https://github.com/Thenerdstation/mltest/compare/1c07535f6318...df74ec788768
336355573,df74ec788768f929c46dd4274e8967fb7d08535a,PassedToFailed,failed,48,https://github.com/Thenerdstation/mltest/compare/1c07535f6318...df74ec788768
336353989,5b6736ceee3780b5f74ec665d831aae26cbb0e01,FailedToPassed,failed,61,https://github.com/Thenerdstation/mltest/compare/ae0f3c10389f...71db3a38a01e
336352918,71db3a38a01e64a6ac0a3fc3dd8b96fdeb40cf75,FailedToPassed,passed,66,https://github.com/Thenerdstation/mltest/compare/ae0f3c10389f...71db3a38a01e
336345795,8161097d740ea13880a0f28b216d6afd1b1ee264,PassedToFailed,passed,56,https://github.com/Thenerdstation/mltest/compare/7bbae9c56cca...54e175bf7f57
336344527,54e175bf7f577eccf5236dad4f35b70be730735c,PassedToFailed,failed,39,https://github.com/Thenerdstation/mltest/compare/7bbae9c56cca...54e175bf7f57
