BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
613925772,4a09a12a65667869295a64e80affdbff0b5fec26,FailedToPassed,failed,525,https://github.com/alan-turing-institute/skpro/compare/v1.0.1
495140097,05f0df076db777946f317117d6cc66f2dd54259b,FailedToPassed,passed,694,https://github.com/alan-turing-institute/skpro/compare/v1.0.1
495140097,05f0df076db777946f317117d6cc66f2dd54259b,PassedToErrored,passed,694,https://github.com/alan-turing-institute/skpro/compare/v1.0.1-beta
495134654,05f0df076db777946f317117d6cc66f2dd54259b,PassedToErrored,errored,1464,https://github.com/alan-turing-institute/skpro/compare/v1.0.1-beta
495134654,05f0df076db777946f317117d6cc66f2dd54259b,ErroredToPassed,errored,1464,https://github.com/alan-turing-institute/skpro/compare/54bbfd05aa2b...05f0df076db7
495131408,05f0df076db777946f317117d6cc66f2dd54259b,ErroredToPassed,passed,1550,https://github.com/alan-turing-institute/skpro/compare/54bbfd05aa2b...05f0df076db7
495123864,05f0df076db777946f317117d6cc66f2dd54259b,PassedToFailed,passed,565,https://github.com/alan-turing-institute/skpro/compare/54bbfd05aa2b...fadf991a14cf
495115689,fadf991a14cf604ffac53a5b807ba08739ed2cf2,PassedToFailed,failed,517,https://github.com/alan-turing-institute/skpro/compare/54bbfd05aa2b...fadf991a14cf
495115689,fadf991a14cf604ffac53a5b807ba08739ed2cf2,FailedToPassed,failed,517,https://github.com/alan-turing-institute/skpro/compare/869467be98e7...54bbfd05aa2b
435336167,54bbfd05aa2b140ff132b7e288f01ae99dbec433,FailedToPassed,passed,514,https://github.com/alan-turing-institute/skpro/compare/869467be98e7...54bbfd05aa2b
435333857,54bbfd05aa2b140ff132b7e288f01ae99dbec433,PassedToFailed,passed,512,https://github.com/alan-turing-institute/skpro/compare/d0180ddee79b...869467be98e7
435316828,869467be98e7be581aa45a22bdac649a4f321ece,PassedToFailed,failed,486,https://github.com/alan-turing-institute/skpro/compare/d0180ddee79b...869467be98e7
435305627,4d4929377f2b00ee20525a1f0ca9b7ef11fd1296,FailedToPassed,failed,487,https://github.com/alan-turing-institute/skpro/compare/a6bd56b039de...89b4307ffb7f
331967555,89b4307ffb7fdc73c5f24b7c6d0030c22d8a95d9,FailedToPassed,passed,515,https://github.com/alan-turing-institute/skpro/compare/a6bd56b039de...89b4307ffb7f
313596084,8d5e7e295ac963cb85462fe29dc4ab7c04d47a6e,PassedToErrored,passed,160,https://github.com/alan-turing-institute/skpro/compare/v1.0.0-beta
313593802,8d5e7e295ac963cb85462fe29dc4ab7c04d47a6e,PassedToErrored,errored,98,https://github.com/alan-turing-institute/skpro/compare/v1.0.0-beta
313593802,8d5e7e295ac963cb85462fe29dc4ab7c04d47a6e,ErroredToPassed,errored,98,https://github.com/alan-turing-institute/skpro/compare/1.0.0b1
313592208,8d5e7e295ac963cb85462fe29dc4ab7c04d47a6e,ErroredToPassed,passed,111,https://github.com/alan-turing-institute/skpro/compare/1.0.0b1
