BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
693910124,c754ef9e233d35e2b003f6f713918779d321379c,ErroredToPassed,errored,2227,https://github.com/bmcfee/muda/compare/9f0bf2479f26...c93b6cd7c345
612444813,c93b6cd7c3459fcb2b2dac494d21d868a67fcc85,ErroredToPassed,passed,2167,https://github.com/bmcfee/muda/compare/9f0bf2479f26...c93b6cd7c345
610838184,1687a36317406354eed50c0f7f98702fc5d97a77,PassedToFailed,passed,1392,https://github.com/bmcfee/muda/pull/73
610587483,6c629bfed09bbaf8d6da6f3fbc4b6f3e21e3dc5c,PassedToFailed,failed,2613,https://github.com/bmcfee/muda/pull/73
610586179,94b45539aed1111a52917bac958af320071b924e,FailedToPassed,failed,2781,https://github.com/bmcfee/muda/compare/80ea2a0e6f59...fda98bc7995c
575032753,fda98bc7995ce8d25e2b9d64e6b55e5b9fde613c,FailedToPassed,passed,1353,https://github.com/bmcfee/muda/compare/80ea2a0e6f59...fda98bc7995c
547823445,bcb25c628b98b03c065d2a6bf2b0294b87fee542,PassedToFailed,passed,1536,https://github.com/bmcfee/muda/pull/67
546402197,fc3e402db148547cd86b1a15c7a230309f9d8786,PassedToFailed,failed,2529,https://github.com/bmcfee/muda/pull/67
546402197,fc3e402db148547cd86b1a15c7a230309f9d8786,FailedToPassed,failed,2529,https://github.com/bmcfee/muda/compare/87588d786ef5...ff82efdfaeb9
525072486,ff82efdfaeb98da0a9f9124845826eb20536a9ba,FailedToPassed,passed,2498,https://github.com/bmcfee/muda/compare/87588d786ef5...ff82efdfaeb9
508712285,2a73282ae44b8aeb3ad531e182fbccb06ed9719a,PassedToFailed,passed,1587,https://github.com/bmcfee/muda/pull/68
508703745,0ae510202d7b0a221c41c405d541f070d2660402,PassedToFailed,failed,1550,https://github.com/bmcfee/muda/pull/68
508703745,0ae510202d7b0a221c41c405d541f070d2660402,FailedToPassed,failed,1550,https://github.com/bmcfee/muda/pull/67
506519629,7c8873dfb585a0b678eb1efb78382269bde50f72,FailedToPassed,passed,1696,https://github.com/bmcfee/muda/pull/67
506311354,87588d786ef5f2fbea8b3fac7e4612918bccc00d,PassedToErrored,passed,2824,https://github.com/bmcfee/muda/pull/67
505942427,acfc7f5f662fab7b76f215736be4d75679d51d8f,PassedToErrored,errored,1778,https://github.com/bmcfee/muda/pull/67
505942427,acfc7f5f662fab7b76f215736be4d75679d51d8f,ErroredToPassed,errored,1778,https://github.com/bmcfee/muda/compare/fa1dca80c939...bbb2fd25070d
259881336,bbb2fd25070d5a531f33ef899f5869d88897a136,ErroredToPassed,passed,788,https://github.com/bmcfee/muda/compare/fa1dca80c939...bbb2fd25070d
259874967,e723d387f44865f5c32556f4175e631fa3fd9765,PassedToFailed,passed,763,https://github.com/bmcfee/muda/pull/61
259871448,46f991faac80d4bb9239ff1ea74e4aec3b072c28,PassedToFailed,failed,744,https://github.com/bmcfee/muda/pull/61
259871125,2f46de4da4ee5f16e416e4fe4cce8bbb8f9dbb3e,FailedToPassed,failed,765,https://github.com/bmcfee/muda/compare/5c38da8cc3e5...fa1dca80c939
258380350,fa1dca80c9394111113a98035049786928568a28,FailedToPassed,passed,752,https://github.com/bmcfee/muda/compare/5c38da8cc3e5...fa1dca80c939
258311809,b2e4a85b5707408f6ed84e74c7d7ab01f3316465,PassedToFailed,passed,667,https://github.com/bmcfee/muda/pull/60
258305865,49242c9f852593ad568c9883c17c214b7170ebbb,PassedToFailed,failed,627,https://github.com/bmcfee/muda/pull/60
258305865,49242c9f852593ad568c9883c17c214b7170ebbb,FailedToPassed,failed,627,https://github.com/bmcfee/muda/compare/a85efe49c431...5c38da8cc3e5
258260778,5c38da8cc3e5edcf819358b551092659dc0e46e6,FailedToPassed,passed,1848,https://github.com/bmcfee/muda/compare/a85efe49c431...5c38da8cc3e5
254178705,3ff4406386155a6006ceeca406d803c3d6dc51d5,PassedToErrored,passed,1823,https://github.com/bmcfee/muda/pull/58
251270084,49a3e65bfaa756227d1e68d18dbbdb5fe4cd66bd,PassedToErrored,errored,879,https://github.com/bmcfee/muda/pull/58
251266856,2130b00fbf65ae92ff5d96ac17817d478a7f28e9,ErroredToPassed,errored,643,https://github.com/bmcfee/muda/compare/0.1.3
208605023,2d530b5c301a7eb5505969de55c0957c5a875ac4,ErroredToPassed,passed,666,https://github.com/bmcfee/muda/compare/0.1.3
