BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
774037636,66848d932ffb17329b5dbf7af65344690d60a54b,FailedToPassed,failed,4590,https://github.com/chainer/chainer/compare/621c32774190...308520683812
774019410,3085206838129163559c5fcddfc0116c1c445317,FailedToPassed,passed,736,https://github.com/chainer/chainer/compare/621c32774190...308520683812
774019410,3085206838129163559c5fcddfc0116c1c445317,PassedToFailed,passed,736,https://github.com/chainer/chainer/compare/f53e57434089...621c32774190
773901504,621c327741901f272a2d9c193c80e4ab636f5e81,PassedToFailed,failed,321,https://github.com/chainer/chainer/compare/f53e57434089...621c32774190
773768785,e8d407f56927eddb0d092dc9973f2cc23d9c0eca,FailedToPassed,failed,4412,https://github.com/chainer/chainer/compare/d94be15d3f48...f53e57434089
759322398,f53e57434089fa6f8dfe93a1306ba394cbabf8ad,FailedToPassed,passed,399,https://github.com/chainer/chainer/compare/d94be15d3f48...f53e57434089
759322398,f53e57434089fa6f8dfe93a1306ba394cbabf8ad,PassedToErrored,passed,399,https://github.com/chainer/chainer/compare/42046af08f15...d94be15d3f48
759201070,d94be15d3f48115dd07e78b27e3469e84f783d42,PassedToErrored,errored,784,https://github.com/chainer/chainer/compare/42046af08f15...d94be15d3f48
759201070,d94be15d3f48115dd07e78b27e3469e84f783d42,ErroredToPassed,errored,784,https://github.com/chainer/chainer/pull/8600
759147451,1c33979bce280e6bed22c1df7f53d76cd284d17a,ErroredToPassed,passed,4109,https://github.com/chainer/chainer/pull/8600
759147451,1c33979bce280e6bed22c1df7f53d76cd284d17a,PassedToErrored,passed,4109,https://github.com/chainer/chainer/compare/2279660836b2...42046af08f15
759145496,42046af08f15e08cd25eac3612aa130d67d86228,PassedToErrored,errored,780,https://github.com/chainer/chainer/compare/2279660836b2...42046af08f15
759145496,42046af08f15e08cd25eac3612aa130d67d86228,ErroredToPassed,errored,780,https://github.com/chainer/chainer/pull/8599
758988093,23111655c9f7ca5a3ca77b6ce0ce1310734b3e56,ErroredToPassed,passed,4244,https://github.com/chainer/chainer/pull/8599
758988093,23111655c9f7ca5a3ca77b6ce0ce1310734b3e56,PassedToErrored,passed,4244,https://github.com/chainer/chainer/pull/8598
758987325,d013404c1204bfab6b72b0352c7ff592f3586e96,PassedToErrored,errored,3777,https://github.com/chainer/chainer/pull/8598
758987325,d013404c1204bfab6b72b0352c7ff592f3586e96,ErroredToPassed,errored,3777,https://github.com/chainer/chainer/pull/8598
758986376,203eed6aef46c93da14265e854fc9f52d30b1f9b,ErroredToPassed,passed,4241,https://github.com/chainer/chainer/pull/8598
758986376,203eed6aef46c93da14265e854fc9f52d30b1f9b,PassedToErrored,passed,4241,https://github.com/chainer/chainer/compare/e6166fbd3e69...2279660836b2
758014834,2279660836b2047fd2e97c98c283a729615de73c,PassedToErrored,errored,782,https://github.com/chainer/chainer/compare/e6166fbd3e69...2279660836b2
758014834,2279660836b2047fd2e97c98c283a729615de73c,ErroredToPassed,errored,782,https://github.com/chainer/chainer/pull/8597
757520479,d3055321bf2c7a98501fd00dd3b076ddc76a880f,ErroredToPassed,passed,4194,https://github.com/chainer/chainer/pull/8597
757520479,d3055321bf2c7a98501fd00dd3b076ddc76a880f,PassedToErrored,passed,4194,https://github.com/chainer/chainer/compare/4fe0c3b86e1a...e6166fbd3e69
757359762,e6166fbd3e69b50c01536b137681c63e3bebc5f4,PassedToErrored,errored,813,https://github.com/chainer/chainer/compare/4fe0c3b86e1a...e6166fbd3e69
757359762,e6166fbd3e69b50c01536b137681c63e3bebc5f4,ErroredToPassed,errored,813,https://github.com/chainer/chainer/pull/8543
757000536,e841fda0d7ce8ecba8d92284b8e0dacbabcc02ec,ErroredToPassed,passed,4114,https://github.com/chainer/chainer/pull/8543
757000536,e841fda0d7ce8ecba8d92284b8e0dacbabcc02ec,PassedToFailed,passed,4114,https://github.com/chainer/chainer/pull/8543
756681800,667893886c322fa2a9941e7d1425a5265af1dd2c,PassedToFailed,failed,4025,https://github.com/chainer/chainer/pull/8543
756349739,2d956ae0b7add48cddfc5e863b75642145412812,FailedToPassed,failed,4093,https://github.com/chainer/chainer/compare/v7.0.0.post1
754262192,216ef902e51ebdea4f7c07fe35aab3fed2b781cd,FailedToPassed,passed,403,https://github.com/chainer/chainer/compare/v7.0.0.post1
754258194,216ef902e51ebdea4f7c07fe35aab3fed2b781cd,PassedToErrored,passed,397,https://github.com/chainer/chainer/compare/1c281a068659...4fe0c3b86e1a
751168267,4fe0c3b86e1a87dbb408f0f596d4467ec56a332d,PassedToErrored,errored,1021,https://github.com/chainer/chainer/compare/1c281a068659...4fe0c3b86e1a
751157966,1c281a068659e1dafd0fc3f20b48679869a86951,ErroredToPassed,errored,3391,https://github.com/chainer/chainer/pull/8595
751109856,3b64dc133ebb4a269f0907b9be15d4b5abbb7c96,ErroredToPassed,passed,4240,https://github.com/chainer/chainer/pull/8595
750978803,c83b625c044d2b79d57abef4dbd955d95a0b1ef1,PassedToErrored,passed,4044,https://github.com/chainer/chainer/compare/c0a429fe7ef3...faf68edb5b5d
750954302,faf68edb5b5d8dabdcbd515be5dd5a180c849510,PassedToErrored,errored,3401,https://github.com/chainer/chainer/compare/c0a429fe7ef3...faf68edb5b5d
750228937,699e4c7e1abdb155f7f3239f0840d80bc6a442b5,ErroredToPassed,errored,254,https://github.com/chainer/chainer/pull/8592
750225142,f8a48693d46904e77c25e7dc2a65ee8d316d30d8,ErroredToPassed,passed,4177,https://github.com/chainer/chainer/pull/8592
750224540,a198ace85d21335d6d2a8f506fb7529f1b90f457,PassedToErrored,passed,4114,https://github.com/chainer/chainer/compare/e7f898fe0c10...a2d608842388
750174617,a2d6088423884477b26a64d7a56affecadb4b4e9,PassedToErrored,errored,3395,https://github.com/chainer/chainer/compare/e7f898fe0c10...a2d608842388
749989715,e7f898fe0c109d84ee147c3340e31fe18a64ee42,ErroredToPassed,errored,3387,https://github.com/chainer/chainer/pull/8592
749959852,e3d0792b9cccd05109df02b3291510679cfad308,ErroredToPassed,passed,4052,https://github.com/chainer/chainer/pull/8592
745797964,c6e8f4d75d8d340999c63a05f1d0e246233f5532,PassedToErrored,passed,4104,https://github.com/chainer/chainer/compare/f747f478beb4...cfa300f1c0e5
744571638,cfa300f1c0e5560b26c2449cf0df7b0d6e015ec4,PassedToErrored,errored,3412,https://github.com/chainer/chainer/compare/f747f478beb4...cfa300f1c0e5
744571638,cfa300f1c0e5560b26c2449cf0df7b0d6e015ec4,ErroredToPassed,errored,3412,https://github.com/chainer/chainer/pull/8583
744382330,e5ae65be1ef041a805ac1bb94a87761ecc2b5731,ErroredToPassed,passed,4183,https://github.com/chainer/chainer/pull/8583
744359231,0d781bd8445c4817a1a36031335e65f6a09ebe0d,PassedToFailed,passed,3962,https://github.com/chainer/chainer/pull/8583
741350120,f399736704cca82c78408b75e3112892167dc697,PassedToFailed,failed,4031,https://github.com/chainer/chainer/pull/8583
718552175,f747f478beb42795b100ff666d83fd48d7b5495d,ErroredToPassed,errored,3417,https://github.com/chainer/chainer/pull/8580
718490649,bf08a0b02a25086000320e4030a616f40cd24804,ErroredToPassed,passed,4191,https://github.com/chainer/chainer/pull/8580
