BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
748466821,967e9dbcd7edac0eb632335c48d40aaa41803960,PassedToFailed,passed,2964,https://github.com/chainer/chainerrl/pull/608
746008714,3602b074b50045b2295c6ec91f964daf1749828d,PassedToFailed,failed,2848,https://github.com/chainer/chainerrl/pull/608
745941370,ec261ef83683f50d6bbc5cf93f7eaf492d4a9016,FailedToPassed,failed,2892,https://github.com/chainer/chainerrl/pull/607
745938888,6ee2f43c3501337b6777129a8d7eacf50861dfce,FailedToPassed,passed,2893,https://github.com/chainer/chainerrl/pull/607
745817981,6105f67eedaa7169f462f1b6f7bcdc0c81dbb54e,PassedToErrored,passed,2965,https://github.com/chainer/chainerrl/pull/395
492541690,e592695ecd76569725bd496ea619aa63edc52789,PassedToErrored,errored,532,https://github.com/chainer/chainerrl/pull/395
492541690,e592695ecd76569725bd496ea619aa63edc52789,ErroredToPassed,errored,532,https://github.com/chainer/chainerrl/compare/736475ebbd66...cfc0a20e13fe
745807239,cfc0a20e13fec292846fc22e2917d8fe2a767311,ErroredToPassed,passed,2952,https://github.com/chainer/chainerrl/compare/736475ebbd66...cfc0a20e13fe
744590099,62e12753455918b07b8b79c8a079894de64256db,PassedToFailed,passed,2839,https://github.com/chainer/chainerrl/pull/605
744586575,a6752d2cacfde7400b55afd8ffcafcc4e62962f1,PassedToFailed,failed,2996,https://github.com/chainer/chainerrl/pull/605
744343946,a0c97f2b1cd7eab23b716890335a60fded1ff76e,FailedToPassed,failed,2900,https://github.com/chainer/chainerrl/pull/605
743886705,7441505425b0c4d8372c1bf5417005c56756a73c,FailedToPassed,passed,2924,https://github.com/chainer/chainerrl/pull/605
743886705,7441505425b0c4d8372c1bf5417005c56756a73c,PassedToErrored,passed,2924,https://github.com/chainer/chainerrl/pull/605
743874316,c17b5284727f35a5286b93348a0990fa165ea039,PassedToErrored,errored,3941,https://github.com/chainer/chainerrl/pull/605
687715074,018a29132d77e5af0f92161250c72aba10c6ce29,FailedToPassed,failed,3223,https://github.com/chainer/chainerrl/pull/596
666273844,216d13dc61fb021aab338cdd70d78833e6a40551,FailedToPassed,passed,2792,https://github.com/chainer/chainerrl/pull/596
664272394,ee5863456ba9e188c09a67e6d66dac815eb412dd,PassedToFailed,passed,2876,https://github.com/chainer/chainerrl/pull/477
658588042,68945dd458da779342bbeb2fe75169e1e3353c70,PassedToFailed,failed,776,https://github.com/chainer/chainerrl/pull/477
658586659,8b156c90228cba083f846ded463bb64a8c81aa6b,FailedToPassed,failed,752,https://github.com/chainer/chainerrl/compare/v0.8.0
650291502,499b798213e48f096d62257974a80464e06ad391,FailedToPassed,passed,2844,https://github.com/chainer/chainerrl/compare/v0.8.0
649409799,0eb113ecd90ef42998d59a8fa85411298dd30007,PassedToFailed,passed,2726,https://github.com/chainer/chainerrl/pull/592
649397570,4d221fb593aeb19b56d65117f45549018a4cb683,PassedToFailed,failed,2028,https://github.com/chainer/chainerrl/pull/592
646707213,af6490dbe0ed18f787dde638e6ad774a7b50df2f,ErroredToPassed,errored,1705,https://github.com/chainer/chainerrl/pull/565
630260514,01197a35f71eae58fde3aacb115999aeacc140f4,ErroredToPassed,passed,2726,https://github.com/chainer/chainerrl/pull/565
630260514,01197a35f71eae58fde3aacb115999aeacc140f4,PassedToFailed,passed,2726,https://github.com/chainer/chainerrl/pull/565
629964798,4ec0ff6d0c0be15ce3d48969ae4bd237a978f7cc,PassedToFailed,failed,2726,https://github.com/chainer/chainerrl/pull/565
629962123,7689cfb6f9a852a24023e3434d1804b93574cc8e,FailedToPassed,failed,2795,https://github.com/chainer/chainerrl/pull/565
629949915,e832459cbfcf6bd8f62b4cc82aa2ec1e8a772b7e,FailedToPassed,passed,2823,https://github.com/chainer/chainerrl/pull/565
628332079,54424d5f40a30840c01b213d12e656d1fb695164,PassedToFailed,passed,3150,https://github.com/chainer/chainerrl/pull/565
627041762,27daed88ae5758427ee4408cead51cc91f7113eb,PassedToFailed,failed,2627,https://github.com/chainer/chainerrl/pull/565
627041762,27daed88ae5758427ee4408cead51cc91f7113eb,FailedToPassed,failed,2627,https://github.com/chainer/chainerrl/pull/565
626683667,0494bbeca5addfd2e431d62ea9361042c441cae1,FailedToPassed,passed,2684,https://github.com/chainer/chainerrl/pull/565
626683667,0494bbeca5addfd2e431d62ea9361042c441cae1,PassedToFailed,passed,2684,https://github.com/chainer/chainerrl/pull/565
626653996,b1e39987aa2892d50dd7fffe02981ed586ca1997,PassedToFailed,failed,3077,https://github.com/chainer/chainerrl/pull/565
626653996,b1e39987aa2892d50dd7fffe02981ed586ca1997,FailedToPassed,failed,3077,https://github.com/chainer/chainerrl/compare/e51e2a914b38...3c87398eb274
626647658,3c87398eb274e296a25ce58f6b75e7ed1306a21b,FailedToPassed,passed,2637,https://github.com/chainer/chainerrl/compare/e51e2a914b38...3c87398eb274
626591410,55c0f4d50b4294baf589e3338114e37ba467ff4c,PassedToErrored,passed,2923,https://github.com/chainer/chainerrl/pull/565
626568579,766e0c2be0266b491d125461e0dabf5369a556b4,PassedToErrored,errored,1287,https://github.com/chainer/chainerrl/pull/565
626568579,766e0c2be0266b491d125461e0dabf5369a556b4,ErroredToPassed,errored,1287,https://github.com/chainer/chainerrl/pull/565
626552226,19938f47aed77ef646efb714b628ae3da04c41d7,ErroredToPassed,passed,2991,https://github.com/chainer/chainerrl/pull/565
626552226,19938f47aed77ef646efb714b628ae3da04c41d7,PassedToFailed,passed,2991,https://github.com/chainer/chainerrl/pull/565
626546825,48f2265c4bb770cd5bf6e815fe300896052c71e9,PassedToFailed,failed,2933,https://github.com/chainer/chainerrl/pull/565
625581610,367cf555751351631b5ce62d6e009fe31062e3bf,FailedToPassed,failed,3156,https://github.com/chainer/chainerrl/compare/5d833d6cb3b6...294ff3c40302
625578539,294ff3c40302a91cbad6d4661e255a87fc7e54c6,FailedToPassed,passed,2917,https://github.com/chainer/chainerrl/compare/5d833d6cb3b6...294ff3c40302
625578539,294ff3c40302a91cbad6d4661e255a87fc7e54c6,PassedToFailed,passed,2917,https://github.com/chainer/chainerrl/pull/565
625559442,ea6affb2c27fea31777dc5d6e541d02f875a5cbe,PassedToFailed,failed,3051,https://github.com/chainer/chainerrl/pull/565
