BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
647810162,b65cff82bed8d1dcefafaa10fdf258ab2124ac91,ErroredToPassed,errored,765,https://github.com/datamade/usaddress/pull/267
592857374,a9046cdfb18c07f655b8b7991b6895b577a9a2ca,ErroredToPassed,passed,1594,https://github.com/datamade/usaddress/pull/267
592857374,a9046cdfb18c07f655b8b7991b6895b577a9a2ca,PassedToErrored,passed,1594,https://github.com/datamade/usaddress/pull/267
592288666,aadccd80cb8182d99feb9aefe1afef90a9df0981,PassedToErrored,errored,1642,https://github.com/datamade/usaddress/pull/267
592288666,aadccd80cb8182d99feb9aefe1afef90a9df0981,ErroredToPassed,errored,1642,https://github.com/datamade/usaddress/pull/259
511038262,2842cba56971bd64cb33b6a6456a9aabc779debf,ErroredToPassed,passed,2108,https://github.com/datamade/usaddress/pull/259
511038262,2842cba56971bd64cb33b6a6456a9aabc779debf,PassedToErrored,passed,2108,https://github.com/datamade/usaddress/pull/259
510797810,a1abf374bc54ce99d1c8eeab254d5c44a8646b8f,PassedToErrored,errored,2238,https://github.com/datamade/usaddress/pull/259
510797810,a1abf374bc54ce99d1c8eeab254d5c44a8646b8f,ErroredToPassed,errored,2238,https://github.com/datamade/usaddress/pull/258
510778329,c5000ab17b0864ec5ce02dfd184b3f9b57d17270,ErroredToPassed,passed,4827,https://github.com/datamade/usaddress/pull/258
510778329,c5000ab17b0864ec5ce02dfd184b3f9b57d17270,PassedToErrored,passed,4827,https://github.com/datamade/usaddress/pull/255
502059321,c07344ca2552ad07ba84aed3b4c57279fae2925a,PassedToErrored,errored,2013,https://github.com/datamade/usaddress/pull/255
502059321,c07344ca2552ad07ba84aed3b4c57279fae2925a,ErroredToPassed,errored,2013,https://github.com/datamade/usaddress/pull/254
498451761,6367e1cf6c2e0ab754f1823bc59f3a8a6b8e7e36,ErroredToPassed,passed,1627,https://github.com/datamade/usaddress/pull/254
496309437,f6905c7012a4f4821b5cbfd8e12c3edbc0a6d137,PassedToErrored,passed,1609,https://github.com/datamade/usaddress/compare/81d7797ce2b8...40fff23afaf0
405096752,40fff23afaf0144f6fbcf55c112cc033a638b05b,PassedToErrored,errored,596,https://github.com/datamade/usaddress/compare/81d7797ce2b8...40fff23afaf0
405096752,40fff23afaf0144f6fbcf55c112cc033a638b05b,ErroredToPassed,errored,596,https://github.com/datamade/usaddress/pull/222
364644696,3e18c8106f03567521667fc25b7ef7412c3108f8,ErroredToPassed,passed,562,https://github.com/datamade/usaddress/pull/222
359901831,fe77fa99a3eba0595d8bb3f41b0d0177bfa658b1,PassedToErrored,passed,559,https://github.com/datamade/usaddress/pull/220
359898933,52be2590b92e9fee5efa85d16f067a76aa4c486f,PassedToErrored,errored,366,https://github.com/datamade/usaddress/pull/220
248775667,ab00738b5596876f83a08d8ad53f6ff1c97a509b,ErroredToPassed,errored,296,https://github.com/datamade/usaddress/pull/191
247664070,e2d213b20a6a5a4b31400df2d0213cc571409e2e,ErroredToPassed,passed,570,https://github.com/datamade/usaddress/pull/191
247664070,e2d213b20a6a5a4b31400df2d0213cc571409e2e,PassedToFailed,passed,570,https://github.com/datamade/usaddress/pull/191
247236322,6a6e8127d64d123f132ac592c92f08ec3a3108d6,PassedToFailed,failed,631,https://github.com/datamade/usaddress/pull/191
247236322,6a6e8127d64d123f132ac592c92f08ec3a3108d6,FailedToPassed,failed,631,https://github.com/datamade/usaddress/compare/9d0f19cb96ea...8bc42249f344
245553686,8bc42249f3440c81e45364ab06c0d7b9ec5442be,FailedToPassed,passed,530,https://github.com/datamade/usaddress/compare/9d0f19cb96ea...8bc42249f344
206392692,bbf9c846d655c6295e89b80e47b61f3679f2461c,PassedToFailed,passed,860,https://github.com/datamade/usaddress/pull/173
206271981,3117ef7f93702e73a261b21aaf47663f62efbbb1,PassedToFailed,failed,2604,https://github.com/datamade/usaddress/pull/173
206266774,bb249fb896748bb38b18796434bc5c86bfd5a20f,FailedToPassed,failed,2312,https://github.com/datamade/usaddress/pull/170
203020017,21a4369c65edfb0bc344537663f5f6a2cb431cc0,FailedToPassed,passed,679,https://github.com/datamade/usaddress/pull/170
199864049,251bef191299397c332e79a8308c227f79a8f003,PassedToFailed,passed,722,https://github.com/datamade/usaddress/pull/166
199859412,0945ad817c4afee235b2eec8384278955a3ca44d,PassedToFailed,failed,969,https://github.com/datamade/usaddress/pull/166
199859412,0945ad817c4afee235b2eec8384278955a3ca44d,FailedToPassed,failed,969,https://github.com/datamade/usaddress/compare/923fa91c6558...bb7d4e83d885
199084903,bb7d4e83d8859ab1ff5aebb0d3fa666a18ef1fb4,FailedToPassed,passed,739,https://github.com/datamade/usaddress/compare/923fa91c6558...bb7d4e83d885
199084903,bb7d4e83d8859ab1ff5aebb0d3fa666a18ef1fb4,PassedToFailed,passed,739,https://github.com/datamade/usaddress/compare/9cc0523f6057...923fa91c6558
199073702,923fa91c65585b6e1d508c813d72c3d66b604ff3,PassedToFailed,failed,871,https://github.com/datamade/usaddress/compare/9cc0523f6057...923fa91c6558
