BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
205690099,269ea4299a68b2eb93aedd4daa9cc27ae9101a21,FailedToPassed,failed,3149,https://github.com/dssg/triage/compare/f838a4fe0691...098209fa170e
205690090,098209fa170e79fcc3f3b274f66d9c974def8159,FailedToPassed,passed,3065,https://github.com/dssg/triage/compare/f838a4fe0691...098209fa170e
200069893,c8a8591c8655dd84178795af20763f3d2dea5325,PassedToErrored,passed,3092,https://github.com/dssg/triage/compare/v4.2.0
199882065,2238b0fd864e6c39b9f0ae91a7245206e0cf310a,PassedToErrored,errored,3197,https://github.com/dssg/triage/compare/v4.2.0
197021129,08a551844ddf1f35907adb17ade8371514c38521,FailedToPassed,failed,3106,https://github.com/dssg/triage/compare/d65f9c54e62d...4f971e6b2ce2
197021127,4f971e6b2ce2642ce6892924ccd63443be201dd5,FailedToPassed,passed,3130,https://github.com/dssg/triage/compare/d65f9c54e62d...4f971e6b2ce2
197021107,2238b0fd864e6c39b9f0ae91a7245206e0cf310a,PassedToFailed,passed,3219,https://github.com/dssg/triage/pull/815
187665031,ec36cddd570fe613dbfe58437efc84f72e2a1223,PassedToFailed,failed,3030,https://github.com/dssg/triage/pull/815
187664970,19f24f7feb8f49d2d005852829d0f44fcad810c0,FailedToPassed,failed,3171,https://github.com/dssg/triage/compare/8afd0eb9347d...f3f716e04aac
187664965,f3f716e04aac9fa3f7b48b27db6682cb0a5406b5,FailedToPassed,passed,3211,https://github.com/dssg/triage/compare/8afd0eb9347d...f3f716e04aac
183445804,b177455f918a8e31ed9650a4546c892ab3bec59c,PassedToErrored,passed,2646,https://github.com/dssg/triage/compare/3bdce2771422...408ef89d15b6
182284670,408ef89d15b622424560fe7af0982d18ec1ad755,PassedToErrored,errored,1616,https://github.com/dssg/triage/compare/3bdce2771422...408ef89d15b6
182284523,7054fee8faa59c20b1e2fc7bf2968bcced3c75b3,FailedToPassed,failed,2706,https://github.com/dssg/triage/compare/ff0d5546654c...83cc6797f739
182284519,83cc6797f739e6a5e3cf5b8d810b71234b149493,FailedToPassed,passed,2731,https://github.com/dssg/triage/compare/ff0d5546654c...83cc6797f739
