BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
199502714,1517737881e4e44092a1110342097ea4c898d8cf,ErroredToPassed,errored,357,https://github.com/jmaggio14/imagepypelines/compare/c832a1fafd4b...515a63eb237d
197043886,515a63eb237d4fdbf3120efed372efb2083279b0,ErroredToPassed,passed,476,https://github.com/jmaggio14/imagepypelines/compare/c832a1fafd4b...515a63eb237d
192893493,20f6bd3a13db98d7caa9078eb413a0fad40e52e3,PassedToFailed,passed,489,https://github.com/jmaggio14/imagepypelines/compare/5cae024a4566...8359dbb23c3c
192892886,8359dbb23c3c591a93f846716b4c9d028d60ca04,PassedToFailed,failed,373,https://github.com/jmaggio14/imagepypelines/compare/5cae024a4566...8359dbb23c3c
192892390,5cae024a456606a51062700316a2ceadb0498093,FailedToPassed,failed,348,https://github.com/jmaggio14/imagepypelines/compare/d1f90295e138...8b8a5d7b7dca
192636601,8b8a5d7b7dcae3fc5fdc0baf804d6298b47ee5d0,FailedToPassed,passed,469,https://github.com/jmaggio14/imagepypelines/compare/d1f90295e138...8b8a5d7b7dca
192571458,8d53def818e6721b946c9859e3cd44e1c724f575,PassedToFailed,passed,462,https://github.com/jmaggio14/imagepypelines/pull/108
192569873,7a9871d81a86d551b558e9c23d89a1dc1f0515c2,PassedToFailed,failed,476,https://github.com/jmaggio14/imagepypelines/pull/108
187705751,9be60b55b3d43b21a8905d63306b247dfcf9a717,FailedToPassed,failed,89,https://github.com/jmaggio14/imagepypelines/compare/10914f8af570...6008b0686da2
187081388,6008b0686da21e91a761f632f26fc4e7485d0e04,FailedToPassed,passed,143,https://github.com/jmaggio14/imagepypelines/compare/10914f8af570...6008b0686da2
185658341,eb3708f618a383d2d6ee6585fb2b2d2372316e56,PassedToFailed,passed,113,https://github.com/jmaggio14/imagepypelines/compare/196f0c371f6c...5508c0780497
185655756,5508c078049707347b4ba4fdaec2aaa67a649f8c,PassedToFailed,failed,89,https://github.com/jmaggio14/imagepypelines/compare/196f0c371f6c...5508c0780497
183827128,07e888125d576988b2f0721a537a210711fd7131,ErroredToPassed,errored,3000,https://github.com/jmaggio14/imagepypelines/compare/13fb6164f960...d3d784eaa373
183733056,d3d784eaa373875560b240dd57902f3871b244e0,ErroredToPassed,passed,139,https://github.com/jmaggio14/imagepypelines/compare/13fb6164f960...d3d784eaa373
177498231,76d4a2158fdb275dcddcbdea23339e6209e86c78,PassedToFailed,passed,125,https://github.com/jmaggio14/imagepypelines/compare/ee8b8fd38c12...155f5aabdb6c
177497333,155f5aabdb6c0077f0b9a07a1d78616040d2ad58,PassedToFailed,failed,92,https://github.com/jmaggio14/imagepypelines/compare/ee8b8fd38c12...155f5aabdb6c
177497302,ee8b8fd38c125bf690e9a84e2390f59fc5559783,FailedToPassed,failed,88,https://github.com/jmaggio14/imagepypelines/compare/9157d0db7f5a...5834e2cba8f6
177496857,5834e2cba8f6bbeac5984f46c92cc732e1bcd4f5,FailedToPassed,passed,125,https://github.com/jmaggio14/imagepypelines/compare/9157d0db7f5a...5834e2cba8f6
177158990,9157d0db7f5a665a4ad89edf01bf6525eeecfeff,PassedToFailed,passed,116,https://github.com/jmaggio14/imagepypelines/compare/d36cccd626b8...4a39d2c09910
177157516,4a39d2c0991050ec3ce1d369795574c8e9d494f3,PassedToFailed,failed,93,https://github.com/jmaggio14/imagepypelines/compare/d36cccd626b8...4a39d2c09910
177149787,31e0b9cb167e828b6f17f870abe9db1c5bf28172,FailedToPassed,failed,96,https://github.com/jmaggio14/imagepypelines/compare/3a64582c3ab1...88b219f8ad2c
177146307,88b219f8ad2ceedd62b70deedad2aba04af3f600,FailedToPassed,passed,119,https://github.com/jmaggio14/imagepypelines/compare/3a64582c3ab1...88b219f8ad2c
