BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
651392932,735830d8fe865b91f4346dd5da0502861569116b,PassedToFailed,passed,526,https://github.com/kakao/n2/compare/a0782f2012d3...532bf4f3d082
650743812,532bf4f3d08225b2e1776ba5c41ede91835af9d6,PassedToFailed,failed,545,https://github.com/kakao/n2/compare/a0782f2012d3...532bf4f3d082
650292560,a0782f2012d3c5816b59a25ec4a4746ec5b1f70f,FailedToPassed,failed,238,https://github.com/kakao/n2/pull/33
645566529,958de9e04323a9d122b043cbc0963e11d1cd4c95,FailedToPassed,passed,415,https://github.com/kakao/n2/pull/33
533328635,b6aedaa3906e5c7536f884bb36f8d334bfb20fd5,PassedToFailed,passed,538,https://github.com/kakao/n2/pull/30
533321369,7b1af4bbd6bc312df57d1a1c2e6fe7d6a6bd8c06,PassedToFailed,failed,210,https://github.com/kakao/n2/pull/30
533321369,7b1af4bbd6bc312df57d1a1c2e6fe7d6a6bd8c06,FailedToPassed,failed,210,https://github.com/kakao/n2/pull/30
516130413,2df6829b69863612036e53d7e3492c0d24aa7ab7,FailedToPassed,passed,719,https://github.com/kakao/n2/pull/30
443077655,cfb2b1e169c29c7e7a0470e7259f56d8fa3f476b,PassedToFailed,passed,467,https://github.com/kakao/n2/pull/29
443075618,d1b7f668a63d4c57170b658c0dc624d0f9aa5dea,PassedToFailed,failed,408,https://github.com/kakao/n2/pull/29
443073008,b43f7c7e8ece5849e0a3bb8238b03f6e8ed7204a,FailedToPassed,failed,253,https://github.com/kakao/n2/compare/456329d2fe4e...0fe339177e8a
416239428,0fe339177e8a22566d6958f924f8f0c382aab00c,FailedToPassed,passed,569,https://github.com/kakao/n2/compare/456329d2fe4e...0fe339177e8a
319595916,138a54b2cd08d2ca32e80a76804fa93906ace511,PassedToFailed,passed,612,https://github.com/kakao/n2/pull/22
317939961,caf4bd47f308ca39dad9521415da35788bef485c,PassedToFailed,failed,256,https://github.com/kakao/n2/pull/22
317939961,caf4bd47f308ca39dad9521415da35788bef485c,FailedToPassed,failed,256,https://github.com/kakao/n2/pull/22
317936901,6a54b3545245b3a19ac15ca3a7466ef4e2793b6f,FailedToPassed,passed,727,https://github.com/kakao/n2/pull/22
311673684,c29ae49477248fce15327a632b71f1aaae8ca7d9,PassedToFailed,passed,502,https://github.com/kakao/n2/pull/12
311670141,89599876bd365ecdab903e98e25781e8eb2849ce,PassedToFailed,failed,205,https://github.com/kakao/n2/pull/12
311670141,89599876bd365ecdab903e98e25781e8eb2849ce,FailedToPassed,failed,205,https://github.com/kakao/n2/compare/5fa18e56a076...0d073da4b889
311281019,0d073da4b889a93789650a7cb015779c71844c2d,FailedToPassed,passed,621,https://github.com/kakao/n2/compare/5fa18e56a076...0d073da4b889
309410366,c6cc4981bf86d9608a069bf288280970993e94f2,PassedToFailed,passed,737,https://github.com/kakao/n2/compare/82b23970bb481643168c10d8018ffe2d46b6dd9c...d7550186f2f1d604e108d87da21d5f2adf4f096d
309409195,d7550186f2f1d604e108d87da21d5f2adf4f096d,PassedToFailed,failed,197,https://github.com/kakao/n2/compare/82b23970bb481643168c10d8018ffe2d46b6dd9c...d7550186f2f1d604e108d87da21d5f2adf4f096d
