BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
218155282,30c329ede15dc13c4ee0ced7822e97cb7eaf779a,PassedToFailed,passed,505,https://github.com/neuronets/nobrainer/pull/123
218150549,47270f218087c5f20f61997c774f02dd59a8e88c,PassedToFailed,failed,549,https://github.com/neuronets/nobrainer/pull/123
215447742,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,FailedToPassed,failed,548,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
215357113,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,FailedToPassed,passed,553,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
212117976,53c4f320df83c2c2d21b794a331992cfeebb3676,PassedToFailed,passed,561,https://github.com/neuronets/nobrainer/pull/113
212117522,e0aeb7cd935a165ae3dcd75c434ef3962ef7333d,PassedToFailed,failed,538,https://github.com/neuronets/nobrainer/pull/113
212114360,0843640ba2e85977398e7d2254904b661779cfc6,FailedToPassed,failed,561,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
212105731,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,FailedToPassed,passed,544,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
207886670,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,PassedToFailed,passed,547,https://github.com/neuronets/nobrainer/pull/113
207553457,6c6e3872a67b95e5faaf0ed00a4ded753069e4ce,PassedToFailed,failed,540,https://github.com/neuronets/nobrainer/pull/113
207381767,8a56b05de6c6da24753e4a949185337921b141bf,FailedToPassed,failed,404,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
207370082,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,FailedToPassed,passed,553,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
205533528,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,PassedToFailed,passed,572,https://github.com/neuronets/nobrainer/pull/120
205393992,b8436c98225d7fca0c9a468a7863ec4db85a4e16,PassedToFailed,failed,125,https://github.com/neuronets/nobrainer/pull/120
205393992,b8436c98225d7fca0c9a468a7863ec4db85a4e16,FailedToPassed,failed,125,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
205227962,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,FailedToPassed,passed,572,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
198611799,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,PassedToFailed,passed,547,https://github.com/neuronets/nobrainer/pull/113
198273226,6e09f1ab78b24855bd54870f8181abb51ee1942a,PassedToFailed,failed,134,https://github.com/neuronets/nobrainer/pull/113
198135279,ec4cc2a7707fe8c29b6b95127d2071be7c38fa03,FailedToPassed,failed,122,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
198095018,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,FailedToPassed,passed,580,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
193949301,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,PassedToFailed,passed,554,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
193000148,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,PassedToFailed,failed,660,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
193000148,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,FailedToPassed,failed,660,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
192652020,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,FailedToPassed,passed,542,https://github.com/neuronets/nobrainer/compare/4919ea1e722e02117c7b8cdea3cdae520a1d016a...94d25f50964e5b67c9470225fa6d2ad34a74e6c6
190360232,94d25f50964e5b67c9470225fa6d2ad34a74e6c6,PassedToFailed,passed,591,https://github.com/neuronets/nobrainer/pull/113
