BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
749888406,2005626e90ed15a7189f0559d6392185e5304d2b,PassedToErrored,passed,1297,https://github.com/plstcharles/thelper/pull/27
749887754,3f8049b9ce25f6730e9e9a162ee6bb3f7da887b9,PassedToErrored,errored,49,https://github.com/plstcharles/thelper/pull/27
745947038,a48dce97873f208b0687d6256a1580cfa4037214,ErroredToPassed,errored,528,https://github.com/plstcharles/thelper/compare/c8131da1711e...c6433824948c
734164283,c6433824948c261e98e7214ded14c973d4436390,ErroredToPassed,passed,598,https://github.com/plstcharles/thelper/compare/c8131da1711e...c6433824948c
731952626,c8131da1711ef2d5bd1bbfbfac132ebe74f5816d,PassedToFailed,passed,710,https://github.com/plstcharles/thelper/commit/c8131da1711e
731952493,c8131da1711ef2d5bd1bbfbfac132ebe74f5816d,PassedToFailed,failed,2586,https://github.com/plstcharles/thelper/commit/c8131da1711e
731952493,c8131da1711ef2d5bd1bbfbfac132ebe74f5816d,FailedToPassed,failed,2586,https://github.com/plstcharles/thelper/compare/b5db7ea72de8...b04efb4c0715
731950477,b04efb4c07152d174216acf489076c8804411380,FailedToPassed,passed,610,https://github.com/plstcharles/thelper/compare/b5db7ea72de8...b04efb4c0715
722563257,8db0fcf87766427b682a0e9ad707ba5d8ee0670b,PassedToFailed,passed,573,https://github.com/plstcharles/thelper/compare/21648d6d3cf0...412cee05ccab
717346948,412cee05ccab569ae82f334e15c67aed3f983c37,PassedToFailed,failed,499,https://github.com/plstcharles/thelper/compare/21648d6d3cf0...412cee05ccab
714483540,21648d6d3cf002f0f9d1e505f5b30ad51d9e6934,FailedToPassed,failed,505,https://github.com/plstcharles/thelper/compare/c3fe27918a02...07830a35b283
713823643,07830a35b283719b450c76ce2f9e6532ab425fb5,FailedToPassed,passed,634,https://github.com/plstcharles/thelper/compare/c3fe27918a02...07830a35b283
713823643,07830a35b283719b450c76ce2f9e6532ab425fb5,PassedToFailed,passed,634,https://github.com/plstcharles/thelper/compare/e94c49378bfa^...c3fe27918a02
713769787,c3fe27918a0214d2c64756319a602820ef7f84a8,PassedToFailed,failed,529,https://github.com/plstcharles/thelper/compare/e94c49378bfa^...c3fe27918a02
713769787,c3fe27918a0214d2c64756319a602820ef7f84a8,FailedToPassed,failed,529,https://github.com/plstcharles/thelper/compare/6b044bafaec7...a8426af0abc3
713380587,a8426af0abc389cb4ef4f653989b63160b2494ce,FailedToPassed,passed,646,https://github.com/plstcharles/thelper/compare/6b044bafaec7...a8426af0abc3
712989731,6770c5b1f425d8c46e054c975bf81ec0028d141d,PassedToFailed,passed,639,https://github.com/plstcharles/thelper/compare/v0.6.0
712981421,255adfc5dd8eceae66b2c4df71c58b3986542bf4,PassedToFailed,failed,2792,https://github.com/plstcharles/thelper/compare/v0.6.0
712981421,255adfc5dd8eceae66b2c4df71c58b3986542bf4,FailedToPassed,failed,2792,https://github.com/plstcharles/thelper/compare/ee854c3602b2...255adfc5dd8e
712604843,255adfc5dd8eceae66b2c4df71c58b3986542bf4,FailedToPassed,passed,824,https://github.com/plstcharles/thelper/compare/ee854c3602b2...255adfc5dd8e
709302178,bf4a796aa239fd979061fe35dfc381b69508e825,PassedToFailed,passed,818,https://github.com/plstcharles/thelper/commit/95b7256ea4cd
