BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
752980329,c366e4d6f39c46a3a9d8201d9a6d5e64eb929667,FailedToPassed,failed,223,https://github.com/pytorch/tnt/compare/e47a6b083285...32ab2bcb3851
637505668,32ab2bcb3851adab079123f2e8584bb307e04fd5,FailedToPassed,passed,503,https://github.com/pytorch/tnt/compare/e47a6b083285...32ab2bcb3851
637504990,e47a6b0832852d45c9859488481046e5094e9924,PassedToErrored,passed,513,https://github.com/pytorch/tnt/pull/130
637198656,4097831d62d473d5df118e1c466ee6090e1ddf61,PassedToErrored,errored,298,https://github.com/pytorch/tnt/pull/130
637198651,7eb4046057148fd7deaa1d4e64bf03642ce8bb95,ErroredToPassed,errored,25,https://github.com/pytorch/tnt/pull/129
637198623,51c4ce3242b04cbd7aa6868974ec1fd183bc80b1,ErroredToPassed,passed,512,https://github.com/pytorch/tnt/pull/129
635295533,d0d9d558c096e2746e495d5827575b6683f0d2c8,PassedToErrored,passed,507,https://github.com/pytorch/tnt/compare/0.0.5.1
612369592,98db80531e0ec94eb2b5589828426c53aa494038,PassedToErrored,errored,589,https://github.com/pytorch/tnt/compare/0.0.5.1
612369592,98db80531e0ec94eb2b5589828426c53aa494038,ErroredToPassed,errored,589,https://github.com/pytorch/tnt/compare/fadcbae3772c...98db80531e0e
612369312,98db80531e0ec94eb2b5589828426c53aa494038,ErroredToPassed,passed,530,https://github.com/pytorch/tnt/compare/fadcbae3772c...98db80531e0e
611373656,685e30d58f2b5485a9b5a7478b3a81f869f45c4e,PassedToFailed,passed,553,https://github.com/pytorch/tnt/pull/125
611369734,b1246e9f03e6e61609124cb322a6887000799106,PassedToFailed,failed,146,https://github.com/pytorch/tnt/pull/125
611369734,b1246e9f03e6e61609124cb322a6887000799106,FailedToPassed,failed,146,https://github.com/pytorch/tnt/compare/dda83b3d7096...fadcbae3772c
611012446,fadcbae3772c3a8bb89492963284fb1f67127067,FailedToPassed,passed,540,https://github.com/pytorch/tnt/compare/dda83b3d7096...fadcbae3772c
611012446,fadcbae3772c3a8bb89492963284fb1f67127067,PassedToErrored,passed,540,https://github.com/pytorch/tnt/compare/v0.0.5
611012042,dda83b3d70962af2ddd444f69409ba53b43770fc,PassedToErrored,errored,609,https://github.com/pytorch/tnt/compare/v0.0.5
