BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
463206094,01498facb7b0b7b6eda2d3b9969208e410ea4d5e,ErroredToPassed,errored,157,https://github.com/reiinakano/scikit-plot/pull/96
462427511,0ef543354652eabaeb8e2dfd0ab1f5aff8d0ac92,ErroredToPassed,passed,190,https://github.com/reiinakano/scikit-plot/pull/96
346163321,66fc037ed88a3e61657135571121037661278a97,PassedToFailed,passed,374,https://github.com/reiinakano/scikit-plot/pull/84
346163213,39dac23593d44fdb476d975be664424e89513218,PassedToFailed,failed,406,https://github.com/reiinakano/scikit-plot/pull/84
346163213,39dac23593d44fdb476d975be664424e89513218,FailedToPassed,failed,406,https://github.com/reiinakano/scikit-plot/pull/84
345541016,15f28c30a327e97e9e0b86dcc77b8899c2029c7b,FailedToPassed,passed,278,https://github.com/reiinakano/scikit-plot/pull/84
345541016,15f28c30a327e97e9e0b86dcc77b8899c2029c7b,PassedToFailed,passed,278,https://github.com/reiinakano/scikit-plot/pull/84
345536877,f253fe9e77068e1a8803c0f5b8ed1d228897684d,PassedToFailed,failed,237,https://github.com/reiinakano/scikit-plot/pull/84
345536877,f253fe9e77068e1a8803c0f5b8ed1d228897684d,FailedToPassed,failed,237,https://github.com/reiinakano/scikit-plot/pull/81
338850070,280900ce8d2395fb54f4604e37cdbe434031ffd4,FailedToPassed,passed,321,https://github.com/reiinakano/scikit-plot/pull/81
292917736,d96904425589c044f18f590824dc0f7747227e90,PassedToErrored,passed,294,https://github.com/reiinakano/scikit-plot/pull/72
292916176,ddb54734452610c984797aa51fbdd9ab84c3975e,PassedToErrored,errored,82,https://github.com/reiinakano/scikit-plot/pull/72
292916176,ddb54734452610c984797aa51fbdd9ab84c3975e,ErroredToPassed,errored,82,https://github.com/reiinakano/scikit-plot/compare/1aa2dd841dbc...9cb946756ef4
292916332,9cb946756ef45069dded813fa07b98f383ffe79c,ErroredToPassed,passed,276,https://github.com/reiinakano/scikit-plot/compare/1aa2dd841dbc...9cb946756ef4
276414953,89a6ab374db33704f044b581834e6b7e3cfe5709,PassedToErrored,passed,226,https://github.com/reiinakano/scikit-plot/pull/64
276414912,b32fe116940f211cab2f1d938820ebf1c0efd8c5,PassedToErrored,errored,115,https://github.com/reiinakano/scikit-plot/pull/64
276414912,b32fe116940f211cab2f1d938820ebf1c0efd8c5,ErroredToPassed,errored,115,https://github.com/reiinakano/scikit-plot/commit/14bc6c805795
276414722,14bc6c80579535f83d99da0fffe13500415b630f,ErroredToPassed,passed,229,https://github.com/reiinakano/scikit-plot/commit/14bc6c805795
273799820,006078373c2a45a83c0266c0a80f8c72f95629fa,PassedToErrored,passed,249,https://github.com/reiinakano/scikit-plot/pull/56
273799787,b6426621ec46211c488c1051185af0c9848da613,PassedToErrored,errored,68,https://github.com/reiinakano/scikit-plot/pull/56
273799787,b6426621ec46211c488c1051185af0c9848da613,ErroredToPassed,errored,68,https://github.com/reiinakano/scikit-plot/commit/fa2c094273ad
273799397,fa2c094273ad376142946d3e91ed1541d52b5ed4,ErroredToPassed,passed,373,https://github.com/reiinakano/scikit-plot/commit/fa2c094273ad
273771765,9d4d16678d0369d4c5b349f90aab508126afa684,PassedToFailed,passed,262,https://github.com/reiinakano/scikit-plot/compare/92b2d85942e9...fd554e0d1cea
273771497,fd554e0d1cea3005f0ee6edba8e7af824288b8cd,PassedToFailed,failed,207,https://github.com/reiinakano/scikit-plot/compare/92b2d85942e9...fd554e0d1cea
273770989,92b2d85942e92fe3d538ead6986392d47723a1ca,FailedToPassed,failed,196,https://github.com/reiinakano/scikit-plot/compare/3d5fb4d09999...522678283bed
273761330,522678283bed9a3ef830d27119e81ddefa8692bc,FailedToPassed,passed,212,https://github.com/reiinakano/scikit-plot/compare/3d5fb4d09999...522678283bed
273755468,a4d854bbb9980310d6b08cc665b1575a740bc81c,PassedToFailed,passed,317,https://github.com/reiinakano/scikit-plot/compare/ef40598e0e92...604bc9478cf5
273755452,604bc9478cf59ed09f16663bafd0900b0ecc1527,PassedToFailed,failed,226,https://github.com/reiinakano/scikit-plot/compare/ef40598e0e92...604bc9478cf5
273755452,604bc9478cf59ed09f16663bafd0900b0ecc1527,FailedToPassed,failed,226,https://github.com/reiinakano/scikit-plot/compare/793983ec2d23...ef40598e0e92
273679447,ef40598e0e9282efc7ad2639c899df89404eaf38,FailedToPassed,passed,239,https://github.com/reiinakano/scikit-plot/compare/793983ec2d23...ef40598e0e92
273387538,b72db5855e53ed3cbeadc9d2e1d895255b42305e,PassedToErrored,passed,254,https://github.com/reiinakano/scikit-plot/pull/50
273387206,856feb799653db76c8ec41517acce2864262a575,PassedToErrored,errored,216,https://github.com/reiinakano/scikit-plot/pull/50
273387206,856feb799653db76c8ec41517acce2864262a575,ErroredToPassed,errored,216,https://github.com/reiinakano/scikit-plot/compare/d56b758eff4d...753732991fd1
273387185,753732991fd1661bb2bc337aa2aae4bbf1ff785f,ErroredToPassed,passed,245,https://github.com/reiinakano/scikit-plot/compare/d56b758eff4d...753732991fd1
273336521,4231a2d3b92f83aa74e82bae8cf1db7c161e7686,PassedToFailed,passed,195,https://github.com/reiinakano/scikit-plot/commit/2b84501bb272
273335937,2b84501bb2727349a646ec6f4ccb73f09fbec9cc,PassedToFailed,failed,197,https://github.com/reiinakano/scikit-plot/commit/2b84501bb272
273335937,2b84501bb2727349a646ec6f4ccb73f09fbec9cc,FailedToPassed,failed,197,https://github.com/reiinakano/scikit-plot/pull/49
270266802,1f286db9563135cf603e694a4063fab1f5617c7f,FailedToPassed,passed,261,https://github.com/reiinakano/scikit-plot/pull/49
267824946,144a350ec8ec4f864b7c444b1eeb3158f81a07ec,PassedToFailed,passed,233,https://github.com/reiinakano/scikit-plot/pull/41
267776238,7aebe76560911c89f6ac3fd1ba6789cd08198c29,PassedToFailed,failed,350,https://github.com/reiinakano/scikit-plot/pull/41
267776238,7aebe76560911c89f6ac3fd1ba6789cd08198c29,FailedToPassed,failed,350,https://github.com/reiinakano/scikit-plot/pull/41
267771131,21b774e821fccd09c5d0c8caadd00fdde201fdf7,FailedToPassed,passed,286,https://github.com/reiinakano/scikit-plot/pull/41
266305201,ee8338dd45edeeb945dc0e40da0571b8101b3d3a,PassedToErrored,passed,261,https://github.com/reiinakano/scikit-plot/pull/44
266305006,d0f3d3c46e67726d2fe754f2f3c9caab6ed7a132,PassedToErrored,errored,201,https://github.com/reiinakano/scikit-plot/pull/44
266305006,d0f3d3c46e67726d2fe754f2f3c9caab6ed7a132,ErroredToPassed,errored,201,https://github.com/reiinakano/scikit-plot/commit/68db10adc075
266304808,68db10adc075bb74f11f0c10e455f462a22d86d4,ErroredToPassed,passed,239,https://github.com/reiinakano/scikit-plot/commit/68db10adc075
251768723,1d1dc99e6609632bfc0b2833a2eda9510e2d0cc9,PassedToErrored,passed,338,https://github.com/reiinakano/scikit-plot/pull/38
251768145,7f6f31f2d3fb7b155b055b84af340731a520fcda,PassedToErrored,errored,276,https://github.com/reiinakano/scikit-plot/pull/38
251768145,7f6f31f2d3fb7b155b055b84af340731a520fcda,ErroredToPassed,errored,276,https://github.com/reiinakano/scikit-plot/compare/b5af4e567a26...c8a0f48dc45c
251767869,c8a0f48dc45c09cc4309b9e8820fa1a5f582e133,ErroredToPassed,passed,375,https://github.com/reiinakano/scikit-plot/compare/b5af4e567a26...c8a0f48dc45c
251767869,c8a0f48dc45c09cc4309b9e8820fa1a5f582e133,PassedToFailed,passed,375,https://github.com/reiinakano/scikit-plot/commit/b5af4e567a26
251767307,b5af4e567a268f663530f394b926d7398a10b1d9,PassedToFailed,failed,351,https://github.com/reiinakano/scikit-plot/commit/b5af4e567a26
251767307,b5af4e567a268f663530f394b926d7398a10b1d9,FailedToPassed,failed,351,https://github.com/reiinakano/scikit-plot/compare/3fa7985599da...477871d461f4
240359078,477871d461f4805f597de0d52b22358d054b29df,FailedToPassed,passed,250,https://github.com/reiinakano/scikit-plot/compare/3fa7985599da...477871d461f4
227372294,599cdcc646814dec15b1851bf2cfcf63d2c8da74,PassedToErrored,passed,235,https://github.com/reiinakano/scikit-plot/pull/29
227371770,21773e2183b8469e1b3ac572be49a855a823ae91,PassedToErrored,errored,175,https://github.com/reiinakano/scikit-plot/pull/29
227371770,21773e2183b8469e1b3ac572be49a855a823ae91,ErroredToPassed,errored,175,https://github.com/reiinakano/scikit-plot/commit/651d3a32f319
227371548,651d3a32f31938799595d4a7fd9171e8fb1ed72f,ErroredToPassed,passed,219,https://github.com/reiinakano/scikit-plot/commit/651d3a32f319
225965641,128f7d14d8fde082cdca7738d41c1fa4d8d43bd7,PassedToErrored,passed,214,https://github.com/reiinakano/scikit-plot/pull/27
225965523,49c7848aaa21ae7b967cc5d4656df64bf6b4ea51,PassedToErrored,errored,133,https://github.com/reiinakano/scikit-plot/pull/27
225965523,49c7848aaa21ae7b967cc5d4656df64bf6b4ea51,ErroredToPassed,errored,133,https://github.com/reiinakano/scikit-plot/commit/f31fe99acaa3
225965170,f31fe99acaa3ff629e1cc6c9b10fe5cae2a89997,ErroredToPassed,passed,216,https://github.com/reiinakano/scikit-plot/commit/f31fe99acaa3
206213678,fbdbb5aa8a14420854a374cac4099dfc69563c91,PassedToErrored,passed,325,https://github.com/reiinakano/scikit-plot/pull/19
206212057,b656658ab0b1ffbc5ff97d4baf2bee6cb8bb3942,PassedToErrored,errored,101,https://github.com/reiinakano/scikit-plot/pull/19
206210232,df40962c67c7c4691bd56a70bb0369ef27c47a49,ErroredToPassed,errored,183,https://github.com/reiinakano/scikit-plot/compare/e32f4f49edb0...5d52a74ee32b
206209360,5d52a74ee32b84c5873615b9c8e44f46eaa4598d,ErroredToPassed,passed,236,https://github.com/reiinakano/scikit-plot/compare/e32f4f49edb0...5d52a74ee32b
205818708,adac40148cac9614cf8554cb7a553062f5d25e31,PassedToFailed,passed,232,https://github.com/reiinakano/scikit-plot/pull/18
205816353,2ac4e12cff61a1d7c7d8e49a35e94fc07a436763,PassedToFailed,failed,201,https://github.com/reiinakano/scikit-plot/pull/18
205816353,2ac4e12cff61a1d7c7d8e49a35e94fc07a436763,FailedToPassed,failed,201,https://github.com/reiinakano/scikit-plot/compare/451bfe22d0ab...8a1d374c31c7
205815637,8a1d374c31c7c76941fe36e1dc5a616db57207df,FailedToPassed,passed,224,https://github.com/reiinakano/scikit-plot/compare/451bfe22d0ab...8a1d374c31c7
205815637,8a1d374c31c7c76941fe36e1dc5a616db57207df,PassedToFailed,passed,224,https://github.com/reiinakano/scikit-plot/pull/17
205807923,2d5c9fe5703be02b56a5982be2365248116d2a58,PassedToFailed,failed,206,https://github.com/reiinakano/scikit-plot/pull/17
205657101,945d64ddcf6a1dd4761003229ff7ea255f406069,FailedToPassed,failed,187,https://github.com/reiinakano/scikit-plot/compare/v0.2.2
