BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
232399369,5c499942e0ade18fc1abb9669bd04462256bee73,ErroredToPassed,errored,3300,https://github.com/scikit-learn/scikit-learn/pull/20476
232087957,66a0bdd8be227a5da9315a3c9ffa1c664769d180,ErroredToPassed,passed,593,https://github.com/scikit-learn/scikit-learn/pull/20476
232087064,1528bd47608882c2592548d43e825213358c7243,PassedToFailed,passed,598,https://github.com/scikit-learn/scikit-learn/pull/20476
232084976,ca8ee9fa73350bf7b6d2b7760fc59c920781b500,PassedToFailed,failed,422,https://github.com/scikit-learn/scikit-learn/pull/20476
231740402,e4ef854d031854932b7165d55bfd04a400af6b85,ErroredToPassed,errored,4219,https://github.com/scikit-learn/scikit-learn/compare/23df3e2d552b0967bf9b29c06ef37a31e067d8d0...dbbb88d32a24460db79cd3fdd28a7c4f25d7cdec
230982232,dbbb88d32a24460db79cd3fdd28a7c4f25d7cdec,ErroredToPassed,passed,4771,https://github.com/scikit-learn/scikit-learn/compare/23df3e2d552b0967bf9b29c06ef37a31e067d8d0...dbbb88d32a24460db79cd3fdd28a7c4f25d7cdec
230571615,5b3721c4804eac40a3f474a0e03a201c71b0b6f1,PassedToFailed,passed,5607,https://github.com/scikit-learn/scikit-learn/compare/bdf79d53a858f0444aa8a45161212c36e5350e7b...617ff6ef72f28b7964f2b7fbedaeff7b24d8c2f9
230085058,617ff6ef72f28b7964f2b7fbedaeff7b24d8c2f9,PassedToFailed,failed,4707,https://github.com/scikit-learn/scikit-learn/compare/bdf79d53a858f0444aa8a45161212c36e5350e7b...617ff6ef72f28b7964f2b7fbedaeff7b24d8c2f9
230085058,617ff6ef72f28b7964f2b7fbedaeff7b24d8c2f9,FailedToPassed,failed,4707,https://github.com/scikit-learn/scikit-learn/pull/20334
230533152,822f0e3b972ec7c667a3bfd76fbcc6202e03a21d,FailedToPassed,passed,4769,https://github.com/scikit-learn/scikit-learn/pull/20334
227642590,407f461f90805ffeb32d81c74de8aa65f6c359ac,ErroredToPassed,errored,3804,https://github.com/scikit-learn/scikit-learn/compare/3a64fecd1f1d30a17998b254f94613adee48a930...deda6e2a5a01ad22096862bded5f66e9578cc39e
227420796,deda6e2a5a01ad22096862bded5f66e9578cc39e,ErroredToPassed,passed,4731,https://github.com/scikit-learn/scikit-learn/compare/3a64fecd1f1d30a17998b254f94613adee48a930...deda6e2a5a01ad22096862bded5f66e9578cc39e
224314783,bb53641da30899767da18cb6154aa03a3545d864,PassedToFailed,passed,6205,https://github.com/scikit-learn/scikit-learn/pull/19954
224313185,5f6b1b6fcfd35daf5518a9246217ba80ae015a61,PassedToFailed,failed,5714,https://github.com/scikit-learn/scikit-learn/pull/19954
224310236,671c66bef0731dde965824ca2615c1f4befc62ec,FailedToPassed,failed,5701,https://github.com/scikit-learn/scikit-learn/compare/09684342745cfc3509432885396e7be776e64cee...2641baf16d9de5191316745ec46120cc8b57a666
224087394,2641baf16d9de5191316745ec46120cc8b57a666,FailedToPassed,passed,6179,https://github.com/scikit-learn/scikit-learn/compare/09684342745cfc3509432885396e7be776e64cee...2641baf16d9de5191316745ec46120cc8b57a666
223908265,28c832d7d36cfde152b565024ed058219790ce54,PassedToErrored,passed,5903,https://github.com/scikit-learn/scikit-learn/pull/19954
223907810,2163200277f70ea09a06b82a0e87b9ec7dc22f7d,PassedToErrored,errored,5099,https://github.com/scikit-learn/scikit-learn/pull/19954
223907810,2163200277f70ea09a06b82a0e87b9ec7dc22f7d,ErroredToPassed,errored,5099,https://github.com/scikit-learn/scikit-learn/compare/73e8b7d0a984...5efcb10c3e9f
223480563,5efcb10c3e9f87103c404c32a036beb623182c83,ErroredToPassed,passed,6218,https://github.com/scikit-learn/scikit-learn/compare/73e8b7d0a984...5efcb10c3e9f
220268459,fa77cc81f0b512f4e7991e9cc817f0c47ee824e9,PassedToErrored,passed,6049,https://github.com/scikit-learn/scikit-learn/pull/19528
220176093,c9d1f8be181ae038b5eebe7d087b2c2f05b9a028,PassedToErrored,errored,5106,https://github.com/scikit-learn/scikit-learn/pull/19528
220176093,c9d1f8be181ae038b5eebe7d087b2c2f05b9a028,ErroredToPassed,errored,5106,https://github.com/scikit-learn/scikit-learn/pull/19528
220175977,79d95a46788fbce3658ec09e8e1f33c7f07222c3,ErroredToPassed,passed,6063,https://github.com/scikit-learn/scikit-learn/pull/19528
220175977,79d95a46788fbce3658ec09e8e1f33c7f07222c3,PassedToErrored,passed,6063,https://github.com/scikit-learn/scikit-learn/pull/19528
220175890,6a4df74d879f10cde005accd4189f30b20d6440b,PassedToErrored,errored,5000,https://github.com/scikit-learn/scikit-learn/pull/19528
220175890,6a4df74d879f10cde005accd4189f30b20d6440b,ErroredToPassed,errored,5000,https://github.com/scikit-learn/scikit-learn/compare/15fd026963be233d37752f322b5dd484c58e09a8...f4e692c0876425ef6afb6f514b54696f3e071c35
220034774,f4e692c0876425ef6afb6f514b54696f3e071c35,ErroredToPassed,passed,5756,https://github.com/scikit-learn/scikit-learn/compare/15fd026963be233d37752f322b5dd484c58e09a8...f4e692c0876425ef6afb6f514b54696f3e071c35
219223178,1045d16ec13b1cab7878e7555538573d1884aad3,PassedToErrored,passed,6046,https://github.com/scikit-learn/scikit-learn/pull/17772
219102474,cdb2f61c26d41d2a3af18480b74179dfeb42a15e,PassedToErrored,errored,5947,https://github.com/scikit-learn/scikit-learn/pull/17772
219102474,cdb2f61c26d41d2a3af18480b74179dfeb42a15e,ErroredToPassed,errored,5947,https://github.com/scikit-learn/scikit-learn/pull/19528
218834088,af5df2082d9690aaed16bdb76467c0ff4b611e66,ErroredToPassed,passed,5766,https://github.com/scikit-learn/scikit-learn/pull/19528
215898386,95119c13af77c76e150b753485c662b7c52a41a2,PassedToFailed,passed,6087,https://github.com/scikit-learn/scikit-learn/compare/fd890fb4a44c...2f1495cb2dc1
215802523,2f1495cb2dc19fa039ea1a9bc7e5b1bf8b001526,PassedToFailed,failed,7392,https://github.com/scikit-learn/scikit-learn/compare/fd890fb4a44c...2f1495cb2dc1
215802523,2f1495cb2dc19fa039ea1a9bc7e5b1bf8b001526,FailedToPassed,failed,7392,https://github.com/scikit-learn/scikit-learn/compare/94b81ab2e7f9...50d3aaad36fa
215802181,50d3aaad36fa83f5d43e8177838726dd08f0526b,FailedToPassed,passed,7938,https://github.com/scikit-learn/scikit-learn/compare/94b81ab2e7f9...50d3aaad36fa
215802181,50d3aaad36fa83f5d43e8177838726dd08f0526b,PassedToFailed,passed,7938,https://github.com/scikit-learn/scikit-learn/pull/19329
215801101,730149323acd73c884ed2a5f5328ef367ed67830,PassedToFailed,failed,1096,https://github.com/scikit-learn/scikit-learn/pull/19329
215801101,730149323acd73c884ed2a5f5328ef367ed67830,FailedToPassed,failed,1096,https://github.com/scikit-learn/scikit-learn/pull/19330
215797541,2620d00f7f53aa30999ef729736d539a6e63d0ab,FailedToPassed,passed,7212,https://github.com/scikit-learn/scikit-learn/pull/19330
215797541,2620d00f7f53aa30999ef729736d539a6e63d0ab,PassedToFailed,passed,7212,https://github.com/scikit-learn/scikit-learn/pull/19329
215797128,de365fbfa0896ed3c65370c235c462acefe73228,PassedToFailed,failed,1096,https://github.com/scikit-learn/scikit-learn/pull/19329
212958104,ea5342c1c9951327687a905639bbb67fd40bfd18,FailedToPassed,failed,4051,https://github.com/scikit-learn/scikit-learn/pull/19135
212449394,3f0efe68d25bdbcef323ca72d026e4d95a779465,FailedToPassed,passed,3233,https://github.com/scikit-learn/scikit-learn/pull/19135
212163072,b10ab2a106a81e7e2b354a1437f1d342a9b5b344,PassedToErrored,passed,1036,https://github.com/scikit-learn/scikit-learn/compare/dfc5e16066b3a3bbf34238cc0f67639d0965f1a8...da395dde3804152562e461662e947c0edde4b5e3
212162950,da395dde3804152562e461662e947c0edde4b5e3,PassedToErrored,errored,4400,https://github.com/scikit-learn/scikit-learn/compare/dfc5e16066b3a3bbf34238cc0f67639d0965f1a8...da395dde3804152562e461662e947c0edde4b5e3
212162950,da395dde3804152562e461662e947c0edde4b5e3,ErroredToPassed,errored,4400,https://github.com/scikit-learn/scikit-learn/pull/19113
212162769,af7d160b21d1e9d09138d31c585b728c1d6a3130,ErroredToPassed,passed,927,https://github.com/scikit-learn/scikit-learn/pull/19113
212084081,df6882208616b4cf5109acd005cd33263673a21b,PassedToFailed,passed,3258,https://github.com/scikit-learn/scikit-learn/compare/2d95acfe95c28bd8e8a5793021a43ff71c5c6864...dfc5e16066b3a3bbf34238cc0f67639d0965f1a8
212057456,dfc5e16066b3a3bbf34238cc0f67639d0965f1a8,PassedToFailed,failed,4476,https://github.com/scikit-learn/scikit-learn/compare/2d95acfe95c28bd8e8a5793021a43ff71c5c6864...dfc5e16066b3a3bbf34238cc0f67639d0965f1a8
212057456,dfc5e16066b3a3bbf34238cc0f67639d0965f1a8,FailedToPassed,failed,4476,https://github.com/scikit-learn/scikit-learn/pull/19115
212020848,43d393d30c0ddf9da2676a7c2fe047577893b0e0,FailedToPassed,passed,3536,https://github.com/scikit-learn/scikit-learn/pull/19115
211992888,7c090905e08f6b6ad25e08158acde98ff25490e1,PassedToFailed,passed,935,https://github.com/scikit-learn/scikit-learn/compare/280087899302c89ad906c0b50c7a3c1a1e648231...e325bf760f55fb1095a66f1223af2cd396685b2f
211825887,e325bf760f55fb1095a66f1223af2cd396685b2f,PassedToFailed,failed,4334,https://github.com/scikit-learn/scikit-learn/compare/280087899302c89ad906c0b50c7a3c1a1e648231...e325bf760f55fb1095a66f1223af2cd396685b2f
210305945,3cdfb56d340e77c2ffb5ad341ec4abebd8094a25,ErroredToPassed,errored,4355,https://github.com/scikit-learn/scikit-learn/compare/0.24.0
210259758,45a817933ef51a24f0c5863c1026b4fe664b26fa,ErroredToPassed,passed,3269,https://github.com/scikit-learn/scikit-learn/compare/0.24.0
