BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
755581066,3dc692a86a49542de7314c6d904d9d0afee9d196,PassedToErrored,passed,11965,https://github.com/ysig/GraKeL/pull/58
755434715,2f4551eddbb66872487843d84d6f79d892de3762,PassedToErrored,errored,17073,https://github.com/ysig/GraKeL/pull/58
755434715,2f4551eddbb66872487843d84d6f79d892de3762,ErroredToPassed,errored,17073,https://github.com/ysig/GraKeL/compare/80d57e3bb397...df1a1af59a0c
750910138,df1a1af59a0ca8d59f9b2bdd6677a834227a2c63,ErroredToPassed,passed,10948,https://github.com/ysig/GraKeL/compare/80d57e3bb397...df1a1af59a0c
750814745,80d57e3bb3973989e019b8eec113306c2e8908e3,PassedToErrored,passed,10686,https://github.com/ysig/GraKeL/pull/54
750715069,c5e964f163ae2fe4688b1785455a66d4ac838860,PassedToErrored,errored,16373,https://github.com/ysig/GraKeL/pull/54
750671770,898b37fe23c31ad3d0bd38b788fabd1ed49d3719,ErroredToPassed,errored,16088,https://github.com/ysig/GraKeL/compare/f398dba095d3...fc8717dfab53
742429690,fc8717dfab530a3274c3db11ac34233c1b985657,ErroredToPassed,passed,11167,https://github.com/ysig/GraKeL/compare/f398dba095d3...fc8717dfab53
742429690,fc8717dfab530a3274c3db11ac34233c1b985657,PassedToErrored,passed,11167,https://github.com/ysig/GraKeL/pull/49
742429185,889e0b3188a9c5821ed62fd643b7f8fafd9432d2,PassedToErrored,errored,220,https://github.com/ysig/GraKeL/pull/49
742429185,889e0b3188a9c5821ed62fd643b7f8fafd9432d2,ErroredToPassed,errored,220,https://github.com/ysig/GraKeL/compare/f8406da2af57...352706430961
742425275,35270643096186f6f8e4fda54a503771f0df62f2,ErroredToPassed,passed,11190,https://github.com/ysig/GraKeL/compare/f8406da2af57...352706430961
735694739,cea0b133d94204965db587fc6fd654361e92358e,FailedToPassed,failed,10830,https://github.com/ysig/GraKeL/compare/1f0a41465c10...247d9743ec34
735685261,247d9743ec34b8ca15f1537dc836e8dee2b5a502,FailedToPassed,passed,11964,https://github.com/ysig/GraKeL/compare/1f0a41465c10...247d9743ec34
735682283,1f0a41465c10edff5bafe57d7e2aa39ac8b80495,PassedToFailed,passed,11665,https://github.com/ysig/GraKeL/compare/065df09b90d6...bb5ca193a8f6
735660923,bb5ca193a8f66f69b0318570373d8c403fe943ab,PassedToFailed,failed,10610,https://github.com/ysig/GraKeL/compare/065df09b90d6...bb5ca193a8f6
735545862,73fe779c2698fb046a2c89932b077bd9ec9993b0,ErroredToPassed,errored,7512,https://github.com/ysig/GraKeL/pull/47
735443055,745eb5945df4e51f7c555a762b48b1c9bfad1f41,ErroredToPassed,passed,11862,https://github.com/ysig/GraKeL/pull/47
735443055,745eb5945df4e51f7c555a762b48b1c9bfad1f41,PassedToFailed,passed,11862,https://github.com/ysig/GraKeL/compare/3d544d8d6953...049cfc37ffba
732086800,049cfc37ffba5f0d4cf09d39c2a3d97281e59334,PassedToFailed,failed,10831,https://github.com/ysig/GraKeL/compare/3d544d8d6953...049cfc37ffba
706910587,4f43ca4dbef7fb4224707675379fa199c6317d21,FailedToPassed,failed,1353,https://github.com/ysig/GraKeL/compare/0.1a8
706809189,cfd14e0543075308d201327ac778a48643f81095,FailedToPassed,passed,11853,https://github.com/ysig/GraKeL/compare/0.1a8
690999745,cfd14e0543075308d201327ac778a48643f81095,PassedToFailed,passed,11649,https://github.com/ysig/GraKeL/compare/345e3b82ee05...1c97fd1abccb
690997933,1c97fd1abccbd729955abf5fcd9e7f977d1fdf2b,PassedToFailed,failed,11855,https://github.com/ysig/GraKeL/compare/345e3b82ee05...1c97fd1abccb
664558101,114c732d2e2a41b68dee4770b56a2fb2ffae7e1c,ErroredToPassed,errored,13783,https://github.com/ysig/GraKeL/compare/6c1548310aca...9f6124b66076
664556970,9f6124b66076080e62e5a6cca04a4d84cd9c5b71,ErroredToPassed,passed,13997,https://github.com/ysig/GraKeL/compare/6c1548310aca...9f6124b66076
654452421,19cee809fec597394f5ca0a72fa0ac4030aa7e84,PassedToFailed,passed,14651,https://github.com/ysig/GraKeL/compare/b6e87539c563...630ec7d2c0d5
654089269,630ec7d2c0d51fe9a39fdd1a8ea7def2720b0930,PassedToFailed,failed,14161,https://github.com/ysig/GraKeL/compare/b6e87539c563...630ec7d2c0d5
645408945,0061de2aeb5a7fc6fb877e4ab7ca671b43b80249,FailedToPassed,failed,13651,https://github.com/ysig/GraKeL/compare/175bae4d8f4a...c07e81450aa6
637383482,c07e81450aa6d4316f294ae5d832dda0a34c9e53,FailedToPassed,passed,14549,https://github.com/ysig/GraKeL/compare/175bae4d8f4a...c07e81450aa6
636609221,2cb9fa9a7c69cde7ce6d952ef15d7112dadfa365,PassedToFailed,passed,14429,https://github.com/ysig/GraKeL/compare/8de11c2d5276...dcf0c65e24d2
636608881,dcf0c65e24d2776e02f030264e416c12a61c5d58,PassedToFailed,failed,10304,https://github.com/ysig/GraKeL/compare/8de11c2d5276...dcf0c65e24d2
636608881,dcf0c65e24d2776e02f030264e416c12a61c5d58,FailedToPassed,failed,10304,https://github.com/ysig/GraKeL/compare/75063c2fe879...404c721fb534
636407425,404c721fb53451920c76896c4cb8d366d621aa59,FailedToPassed,passed,15484,https://github.com/ysig/GraKeL/compare/75063c2fe879...404c721fb534
632203691,51a569d164e9b329a8df73ad9e81a6f367b50c81,PassedToFailed,passed,14346,https://github.com/ysig/GraKeL/compare/28690c696baa...aefcdd272f9a
632196535,aefcdd272f9ae4bb8b24f2f5ff3a44dea42e951d,PassedToFailed,failed,10269,https://github.com/ysig/GraKeL/compare/28690c696baa...aefcdd272f9a
582627968,089b65a52dd3f462a56f0deb58756a0ca7d27fc3,PassedToErrored,passed,20025,https://github.com/ysig/GraKeL/compare/f7b9aaf8a91c...2703bf1c2d93
582614844,2703bf1c2d939457a653b89b52e902e5a07d11e3,PassedToErrored,errored,20120,https://github.com/ysig/GraKeL/compare/f7b9aaf8a91c...2703bf1c2d93
582611828,42d8df5ffd33d39d356e4dff63b33f8f3ccd5545,ErroredToPassed,errored,11799,https://github.com/ysig/GraKeL/compare/d0d714422e40...8c251f5699b7
581707928,8c251f5699b7a0ef1adeb930d72781c8c5d8867d,ErroredToPassed,passed,19658,https://github.com/ysig/GraKeL/compare/d0d714422e40...8c251f5699b7
581707928,8c251f5699b7a0ef1adeb930d72781c8c5d8867d,PassedToFailed,passed,19658,https://github.com/ysig/GraKeL/compare/7834bcbdbd65...d0d714422e40
581681223,d0d714422e40b81420ec9d3bb9b88472e8de0767,PassedToFailed,failed,19342,https://github.com/ysig/GraKeL/compare/7834bcbdbd65...d0d714422e40
