BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
195632499,ad00ff5769683410c786e63e7255a63995b601c0,PassedToFailed,passed,226,https://github.com/yxonic/fret/compare/v0.2.10
195632318,5cde287d5d9d8ebd4c0b123569180c077bfd7704,PassedToFailed,failed,202,https://github.com/yxonic/fret/compare/v0.2.10
195632318,5cde287d5d9d8ebd4c0b123569180c077bfd7704,FailedToPassed,failed,202,https://github.com/yxonic/fret/compare/v0.3.0
195632317,c29beadbb648702d4791304b2bb8f83454fb5414,FailedToPassed,passed,218,https://github.com/yxonic/fret/compare/v0.3.0
195629850,6b9aee5f00e2ba7a05e4902e5364ef89fdd9ba00,PassedToErrored,passed,218,https://github.com/yxonic/fret/pull/2
195626544,36759675d6dbbdaec02512e80c42da76ff62dda7,PassedToErrored,errored,156,https://github.com/yxonic/fret/pull/2
195626512,f6f30da6a65d8016a5b7cde29caabbdeb44a66ae,FailedToPassed,failed,223,https://github.com/yxonic/fret/compare/b022637b952d...f5e79e69125e
195626022,f5e79e69125e9f798b5b73336c3f3cdfd49e5258,FailedToPassed,passed,247,https://github.com/yxonic/fret/compare/b022637b952d...f5e79e69125e
194206535,1cfcb091e1f2539f6680bf30c65ea0890521a0f2,PassedToFailed,passed,218,https://github.com/yxonic/fret/compare/b534dfe10aa3...c8241fb77522
194203424,c8241fb775227a4f32999db5a6fd929d0a8dab8b,PassedToFailed,failed,220,https://github.com/yxonic/fret/compare/b534dfe10aa3...c8241fb77522
182630617,64ff6a5067680a0962f143512be0903fba59d83a,FailedToPassed,failed,216,https://github.com/yxonic/fret/compare/bb3cc2888c8f...b808db9200ce
175555051,b808db9200cecdded2161c3634a6c3e5f8d48074,FailedToPassed,passed,493,https://github.com/yxonic/fret/compare/bb3cc2888c8f...b808db9200ce
175512785,cc8e00a7675c6f4c3feea6f5e3e63ad11353d99b,PassedToFailed,passed,343,https://github.com/yxonic/fret/compare/9b750d863c7c...6de7c78e7703
175512433,6de7c78e77030f73f2b6913b37b627da9e904b5a,PassedToFailed,failed,878,https://github.com/yxonic/fret/compare/9b750d863c7c...6de7c78e7703
175511897,01682073d0a81a8dfd1cbe8b4eb701ae1b3d2429,FailedToPassed,failed,271,https://github.com/yxonic/fret/compare/00cac08fe727...0f757043a8a6
175511455,0f757043a8a60320c0285275e7e5052082ff8fa0,FailedToPassed,passed,215,https://github.com/yxonic/fret/compare/00cac08fe727...0f757043a8a6
175511455,0f757043a8a60320c0285275e7e5052082ff8fa0,PassedToFailed,passed,215,https://github.com/yxonic/fret/compare/dc9d2e30ca86...00cac08fe727
175509555,00cac08fe72763a3f6bf91833895aa3306dd64e7,PassedToFailed,failed,330,https://github.com/yxonic/fret/compare/dc9d2e30ca86...00cac08fe727
175317283,1d5b9bb7c813dd1af3782dd724d86460097c48e7,FailedToPassed,failed,205,https://github.com/yxonic/fret/compare/v0.2.9
156689100,c4946d58fcd9c947c19ce38bf78155a071d00876,FailedToPassed,passed,214,https://github.com/yxonic/fret/compare/v0.2.9
138360212,3cb73686e3ced607cda5f1a198fdccf0e1b6d44f,PassedToErrored,passed,264,https://github.com/yxonic/fret/compare/d592cabebbc1...e6ac53e5f72a
138359828,e6ac53e5f72aff2afc2c7a4190a469f7015dcd7d,PassedToErrored,errored,210,https://github.com/yxonic/fret/compare/d592cabebbc1...e6ac53e5f72a
138359128,d592cabebbc14fb69101176574c92bbff2669fbc,FailedToPassed,failed,207,https://github.com/yxonic/fret/compare/v0.2.8b5
130733914,8d6f9c9e874024929f32c8d3af5c8e78c6ad8b40,FailedToPassed,passed,271,https://github.com/yxonic/fret/compare/v0.2.8b5
129576110,f21fa65dd6bdfbf0be69cf6932136037eb8b067e,PassedToErrored,passed,298,https://github.com/yxonic/fret/compare/ea6265ca1581...e1917787b2ad
129575904,e1917787b2ade4bb81d43616e6f49a111bc33296,PassedToErrored,errored,304,https://github.com/yxonic/fret/compare/ea6265ca1581...e1917787b2ad
129575904,e1917787b2ade4bb81d43616e6f49a111bc33296,ErroredToPassed,errored,304,https://github.com/yxonic/fret/compare/v0.2.8b3
129141635,ea6265ca158180e010fc139164ef7ae241210f1e,ErroredToPassed,passed,151,https://github.com/yxonic/fret/compare/v0.2.8b3
104733437,de4c816992242eaa625dc68dd46eefff86ad4a38,PassedToErrored,passed,117,https://github.com/yxonic/fret/compare/a5900e3c8131...1cd4ff0c006d
104732048,1cd4ff0c006d3015e09fe70f09bf0ee0a90634af,PassedToErrored,errored,188,https://github.com/yxonic/fret/compare/a5900e3c8131...1cd4ff0c006d
104731962,a5900e3c8131242b53504c41dd702c5aaaa220d9,ErroredToPassed,errored,91,https://github.com/yxonic/fret/compare/661dfb0e9785...5da5ab0c159a
104731030,5da5ab0c159ac2381a205ca03765b116f09c77b3,ErroredToPassed,passed,119,https://github.com/yxonic/fret/compare/661dfb0e9785...5da5ab0c159a
104595204,958a8252563a465f17f914fbcab1b874cae3750c,PassedToErrored,passed,139,https://github.com/yxonic/fret/compare/ba92593997da...ce1a90af25a5
104594929,ce1a90af25a57e4ac79fad892013f20cae6c4996,PassedToErrored,errored,129,https://github.com/yxonic/fret/compare/ba92593997da...ce1a90af25a5
104594929,ce1a90af25a57e4ac79fad892013f20cae6c4996,ErroredToPassed,errored,129,https://github.com/yxonic/fret/compare/01049b9f8f0f...ba92593997da
104593448,ba92593997da9b26e1206bc1d1888534b5d8a6cc,ErroredToPassed,passed,121,https://github.com/yxonic/fret/compare/01049b9f8f0f...ba92593997da
103842318,6ee2c2f28bb20dd487d05b76d4a6d4bfb3bced17,PassedToFailed,passed,124,https://github.com/yxonic/fret/compare/a85b7ed3b418...7413e618ab69
103841858,7413e618ab69bb035ee9f6922059bca74a58985a,PassedToFailed,failed,116,https://github.com/yxonic/fret/compare/a85b7ed3b418...7413e618ab69
103841858,7413e618ab69bb035ee9f6922059bca74a58985a,FailedToPassed,failed,116,https://github.com/yxonic/fret/compare/03ee1905de33...a85b7ed3b418
103840887,a85b7ed3b418b8d0eba434eb36ab184dfdea81c7,FailedToPassed,passed,130,https://github.com/yxonic/fret/compare/03ee1905de33...a85b7ed3b418
103839412,03ee1905de337442c33012bffa56b60ede43639d,PassedToFailed,passed,127,https://github.com/yxonic/fret/compare/a2d7de6725bd...9b37c2dac7fa
103839282,9b37c2dac7fab59ee645f7a579965e2bdb698b66,PassedToFailed,failed,123,https://github.com/yxonic/fret/compare/a2d7de6725bd...9b37c2dac7fa
103839282,9b37c2dac7fab59ee645f7a579965e2bdb698b66,FailedToPassed,failed,123,https://github.com/yxonic/fret/compare/b1da7f5614b6...a2d7de6725bd
103770104,a2d7de6725bdb42e11883f1ea6162aabb875a90d,FailedToPassed,passed,402,https://github.com/yxonic/fret/compare/b1da7f5614b6...a2d7de6725bd
102912621,b068a9685dddb278b63523f614bed67279ed8e2b,PassedToFailed,passed,145,https://github.com/yxonic/fret/compare/f9590b140b1e...298b0258e03f
102912256,298b0258e03f0a2290d1ed403ed44e3b78cfc4e1,PassedToFailed,failed,130,https://github.com/yxonic/fret/compare/f9590b140b1e...298b0258e03f
102912256,298b0258e03f0a2290d1ed403ed44e3b78cfc4e1,FailedToPassed,failed,130,https://github.com/yxonic/fret/compare/eadcd59e0e85...f9590b140b1e
102911780,f9590b140b1e7110152d0043a1c578d31f6fb71b,FailedToPassed,passed,129,https://github.com/yxonic/fret/compare/eadcd59e0e85...f9590b140b1e
102597238,bd9b9c28760b1d8f39e082c739dbf3cd7e08531d,PassedToErrored,passed,160,https://github.com/yxonic/fret/compare/0bbcb6289b2f...a06eeaf8d3ae
102597124,a06eeaf8d3ae651df63ce412b5c599ef7d2ec119,PassedToErrored,errored,155,https://github.com/yxonic/fret/compare/0bbcb6289b2f...a06eeaf8d3ae
102179204,4b6ad608a6c3a609d37d7f4a9fd559892be8df2e,FailedToPassed,failed,166,https://github.com/yxonic/fret/compare/64e73a260f77...e9171a3ad95e
99242922,e9171a3ad95e34bdf6289851583412d0fd9baf8c,FailedToPassed,passed,151,https://github.com/yxonic/fret/compare/64e73a260f77...e9171a3ad95e
97655612,64e73a260f771fd9bb843f42817f454e2ad8c0f7,PassedToFailed,passed,589,https://github.com/yxonic/fret/compare/68d8b19960f5...1287f4a069e7
97483949,1287f4a069e780a0268fe1ee38f307225e1d475d,PassedToFailed,failed,133,https://github.com/yxonic/fret/compare/68d8b19960f5...1287f4a069e7
97135968,68d8b19960f57751b545cd491492955507b899e0,FailedToPassed,failed,151,https://github.com/yxonic/fret/compare/ccf3c9f727d0...6578e4bde6ac
96763814,6578e4bde6ac0834ce6a17166eb9da33422c3e1f,FailedToPassed,passed,216,https://github.com/yxonic/fret/compare/ccf3c9f727d0...6578e4bde6ac
96762974,ccf3c9f727d098089d45443ab0376377a2a87610,PassedToFailed,passed,330,https://github.com/yxonic/fret/compare/e31598325d11...b94a41188cda
96761964,b94a41188cdaab1b4690c61f6846e5171a939acd,PassedToFailed,failed,118,https://github.com/yxonic/fret/compare/e31598325d11...b94a41188cda
96727827,e31598325d111a8cc7f7242d94c02c581d1d8822,FailedToPassed,failed,158,https://github.com/yxonic/fret/compare/919fc3f9fd2d...dac4ff746688
96148110,dac4ff7466886bd9d63c9e615dd27347562cbca8,FailedToPassed,passed,131,https://github.com/yxonic/fret/compare/919fc3f9fd2d...dac4ff746688
96024526,919fc3f9fd2d95c4c0d2fdf9d3c4e09728712eb7,PassedToErrored,passed,128,https://github.com/yxonic/fret/compare/208265b649e3...cb3025328bc5
96024497,cb3025328bc57bcc0c6eb17aaedf80cf67104fb6,PassedToErrored,errored,104,https://github.com/yxonic/fret/compare/208265b649e3...cb3025328bc5
96024497,cb3025328bc57bcc0c6eb17aaedf80cf67104fb6,ErroredToPassed,errored,104,https://github.com/yxonic/fret/compare/57c4b370e075...208265b649e3
95986983,208265b649e31ef0b5460f2f075e7e4b54701f45,ErroredToPassed,passed,119,https://github.com/yxonic/fret/compare/57c4b370e075...208265b649e3
95745159,2aeedec216a66fcd547f34e40a0349c7656cee3e,PassedToErrored,passed,136,https://github.com/yxonic/fret/compare/4dfffb8514aa...c493ed0b718d
95745154,c493ed0b718d93b104e5a023868385cf4c91c9f0,PassedToErrored,errored,95,https://github.com/yxonic/fret/compare/4dfffb8514aa...c493ed0b718d
95745154,c493ed0b718d93b104e5a023868385cf4c91c9f0,ErroredToPassed,errored,95,https://github.com/yxonic/fret/compare/988d429bd1a9...4dfffb8514aa
95626197,4dfffb8514aa19f0559d2e0ce86c7dbc0777f685,ErroredToPassed,passed,121,https://github.com/yxonic/fret/compare/988d429bd1a9...4dfffb8514aa
94937793,7bc5f41ad21c5f870d0b0ec9d8e18d0398c4089d,PassedToFailed,passed,134,https://github.com/yxonic/fret/compare/f12ddb9c5e7b...1b38b560f06c
94934907,1b38b560f06c6add60f080c22afff8a0e2af8d96,PassedToFailed,failed,120,https://github.com/yxonic/fret/compare/f12ddb9c5e7b...1b38b560f06c
94934907,1b38b560f06c6add60f080c22afff8a0e2af8d96,FailedToPassed,failed,120,https://github.com/yxonic/fret/compare/d94644186814...f12ddb9c5e7b
94864662,f12ddb9c5e7bb5783ece1dfa21076324866dabf4,FailedToPassed,passed,154,https://github.com/yxonic/fret/compare/d94644186814...f12ddb9c5e7b
94169632,795eb92f9ce2856aafadd34a392d1ebee83c66ce,PassedToErrored,passed,142,https://github.com/yxonic/fret/compare/b6216c2b01f4...54ffd8d3e9d5
94169581,54ffd8d3e9d53339d713dcbf6ffb7179e50c4d14,PassedToErrored,errored,100,https://github.com/yxonic/fret/compare/b6216c2b01f4...54ffd8d3e9d5
94169514,b6216c2b01f45596b98325556ccb2b9e8140f785,ErroredToPassed,errored,116,https://github.com/yxonic/fret/compare/95524ba9ad16...7ee40d141eab
