ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,BuildTotalCount,BuildFailCount,BuildErrorCount,BuildCanceledCount,BuildPassedCount
duxuhao/Feature-Selection,Applied,2018-05-08,2019-05-09,5,2,0,0,0,0,0
kakaobrain/torchgpipe,Applied,2019-09-19,2020-09-19,183,497,69,19,1,1,47
ternaus/robot-surgery-segmentation,Applied,2018-05-13,2019-05-14,27,273,27,5,10,0,12
knorth55/chainer-dense-fusion,Applied,2019-11-03,2020-11-03,381,640,361,0,2,0,358
scikit-learn-contrib/mimic,Tool,2018-10-16,2019-10-17,40,197,40,5,6,0,29
AllenInstitute/mouse_connectivity_models,Applied,2020-06-10,2021-06-11,126,1131,25,17,8,0,0
jfilter/split-folders,Applied,2020-06-27,2021-06-28,63,997,25,0,0,0,25
apacha/MusicScoreClassifier,Applied,2018-03-19,2019-03-20,38,695,27,3,7,0,15
hoxo-m/densratio_py,Tool,2019-08-04,2020-08-04,76,1367,2,0,1,0,0
CSAILVision/gandissect,Applied,2020-05-23,2021-05-24,48,906,3,0,2,0,0
nengo/nengo-dl,Applied,2019-10-29,2020-10-29,88,57,0,0,0,0,0
cjekel/piecewise_linear_fit_py,Applied,2019-12-06,2020-12-06,556,579,362,19,22,0,308
tasoc/starclass,Applied,2020-05-23,2021-05-24,411,1006,238,22,19,0,174
comtravo/ctparse,Applied,2020-05-23,2021-05-24,264,1158,13,4,2,0,4
gbolmier/funk-svd,Applied,2020-04-08,2021-04-09,20,733,0,0,0,0,0
qubvel/efficientnet,Applied,2019-12-15,2020-12-15,114,517,17,2,1,0,13
HunterMcGushion/hyperparameter_hunter,Applied,2020-01-21,2021-01-21,911,884,21,11,1,1,7
5hirish/adam_qas,Applied,2020-06-03,2021-06-04,230,1238,54,0,0,0,53
fnl/syntok,Applied,2019-08-07,2020-08-07,36,630,10,0,0,0,9
vgrabovets/multi_rake,Applied,2020-06-13,2021-06-14,451,1097,55,0,0,0,54
kfoynt/LocalGraphClustering,Applied,2020-02-27,2021-02-27,389,909,18,9,1,0,7
JasonKessler/scattertext,Applied,2020-05-22,2021-05-23,223,1557,37,4,1,0,31
pyro-ppl/funsor,Applied,2018-05-02,2019-05-03,425,70,425,85,1,1,325
justusschock/shapenet,Applied,2019-05-25,2020-05-25,34,470,15,9,1,0,4
dbiir/UER-py,Applied,2020-06-15,2021-06-16,669,730,531,31,16,0,446
eyounx/ZOOpt,Applied,2019-04-07,2020-04-07,53,745,29,3,14,0,11
CyberZHG/keras-word-char-embd,Applied,2020-06-03,2021-06-04,172,1041,55,6,2,0,46
akoumjian/datefinder,Tool,2020-05-12,2021-05-13,59,1621,10,0,1,0,8
Erotemic/netharn,Applied,2019-10-24,2020-10-24,445,871,18,9,2,0,6
