ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
duxuhao/Feature-Selection,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
kakaobrain/torchgpipe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ternaus/robot-surgery-segmentation,Applied,2017-08-12,2018-08-13,27,273,16,28
knorth55/chainer-dense-fusion,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-learn-contrib/mimic,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
AllenInstitute/mouse_connectivity_models,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jfilter/split-folders,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
apacha/MusicScoreClassifier,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
hoxo-m/densratio_py,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
CSAILVision/gandissect,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
nengo/nengo-dl,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
cjekel/piecewise_linear_fit_py,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
tasoc/starclass,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
comtravo/ctparse,Applied,2017-07-24,2018-07-25,264,1158,35,1
gbolmier/funk-svd,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
qubvel/efficientnet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
HunterMcGushion/hyperparameter_hunter,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
5hirish/adam_qas,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
fnl/syntok,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vgrabovets/multi_rake,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
kfoynt/LocalGraphClustering,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
JasonKessler/scattertext,Applied,2017-02-23,2018-02-24,223,1557,23,0
pyro-ppl/funsor,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
justusschock/shapenet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
dbiir/UER-py,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
eyounx/ZOOpt,Applied,2017-03-23,2018-03-24,53,745,0,6
CyberZHG/keras-word-char-embd,Applied,2017-08-07,2018-08-08,172,1041,12,4
akoumjian/datefinder,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Erotemic/netharn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pandoraboxchain/pyrrha-pynode,Applied,2017-07-30,2018-07-31,110,273,23,5
marl/openl3,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jcreinhold/synthtorch,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
miguelvr/dropblock,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
CyberZHG/keras-pos-embd,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
polyaxon/polyaxon-schemas,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Speech-to-Text-Converter,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
arm61/pylj,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
lopuhin/transformer-lm,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
poldracklab/mriqc,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
philgooch/abbreviation-extraction,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
soaxelbrooke/python-bpe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jerrygaoLondon/jgtextrank,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
OpenNMT/OpenNMT-py,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
rgal/gym-2048,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
HDI-Project/ATM,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
DrSleep/DenseTorch,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Mogeng/IOHMM,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
amoussawi/recoder,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
UGentBiomath/wwdata,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
skggm/skggm,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
PrincetonUniversity/ASPIRE-Python,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
anrputina/outlierdenstream,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-ResNet-50,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Image-Caption-Generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
kiudee/cs-ranking,Applied,2017-04-04,2018-04-05,905,921,20,26
IlyaGusev/summarus,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
msuzen/bristol,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-learn-contrib/lightning,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pyro-ppl/pyro,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jkoutsikakis/pytorch-wrapper,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
georgymh/decentralized-ml,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sbl-sdsc/mmtf-pyspark,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
thuijskens/scikit-hyperband,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
priyankshah7/hypers,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jungtaekkim/bayeso,Applied,2017-07-19,2018-07-20,392,1067,24,0
sherpa-ai/sherpa,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
justinshenk/fer,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
MycroftAI/mycroft-core,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Audio-Sample-Generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
stephenhky/PyShortTextCategorization,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
permfl/dictlearn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Kensuke-Mitsuzawa/JapaneseTokenizers,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
felixriese/susi,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
square/pysurvival,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Axelrod-Python/axelrod-dojo,Applied,2017-03-07,2018-03-08,149,813,42,6
t-sakai-kure/pywsl,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
HealthCatalyst/healthcareai-py,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
BerkeleyAutomation/gqcnn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
triagemd/keras-eval,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
theislab/scanpy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Audio-Classifier,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
NatLibFi/Annif,Tool,2017-05-28,2018-05-29,2242,1281,50,34
r9y9/deepvoice3_pytorch,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
glm-tools/pyglmnet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jeffkinnison/shadho,Applied,2017-08-03,2018-08-04,100,1356,57,55
vene/sparse-structured-attention,Applied,2016-11-04,2017-11-05,38,1030,0,0
ubclaunchpad/minutes,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
guillaumegenthial/tf_metrics,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
makcedward/nlpaug,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
NickleDave/hybrid-vocal-classifier,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
albarji/proxTV,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
paris-saclay-cds/ramp-board,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
NLPatVCU/medaCy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
abdullahselek/koolsla,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
abdullahselek/spampy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
persephone-tools/persephone,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
locuslab/qpth,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
sammous/spacy-lefff,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
toodef/neural-pipeline,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
intuit/foremast-brain,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ErikGartner/hyperdock,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
zvtvz/zvt,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vi3k6i5/flashtext,Applied,2017-01-26,2018-01-27,144,1369,8,10
wittawatj/kernel-gof,Applied,2016-06-30,2017-07-01,24,740,0,0
titu1994/tfdiffeq,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ncbi-nlp/NegBio,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
atomistic-machine-learning/schnetpack,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
nok/sklearn-porter,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
benfred/implicit,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mila-iqia/babyai,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
SuperKogito/Voice-based-gender-recognition,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
duketemon/pyuplift,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
proycon/gecco,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pathwayforte/pathway-forte,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
huggingface/neuralcoref,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
indix/whatthelang,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ParrotPrediction/pyalcs,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Image-Resolution-Enhancer,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
raamana/graynet,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ikegami-yukino/oseti,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Keep-Current/Engine,Applied,2017-07-19,2018-07-20,101,432,61,38
a-slide/pycoQC,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
samuelstjean/nlsam,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
LexPredict/lexpredict-lexnlp,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Tiiiger/bert_score,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ibrahimsharaf/doc2vec,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
DongjunLee/kino-bot,Applied,2017-07-26,2018-07-27,423,1514,22,0
dlebech/lyrics-generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
MaxHalford/starboost,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
DistrictDataLabs/yellowbrick,Applied,2017-05-15,2018-05-16,58,23,15,44
howl-anderson/seq2annotation,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
databricks/spark-sklearn,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
beringresearch/ivis,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
koshort/pyeunjeon,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ugnelis/tensorflow-rnn-ctc,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
platisd/bad-commit-message-blocker,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
PPPLDeepLearning/plasma-python,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
MathBunny/strava-wind-analysis-ml,Applied,2017-03-28,2018-03-29,37,408,34,3
chakki-works/chariot,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-learn-contrib/stability-selection,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
HoloClean/holoclean,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
cjekel/tindetheus,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
mholtzscher/spacy_readability,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
domainadaptation/salad,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
bigmlcom/python,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
ssydasheng/GPflow-Slim,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IlyaGusev/rnnmorph,Applied,2017-06-11,2018-06-12,78,1343,22,1
cbg-ethz/pybda,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
fdtomasi/regain,Applied,2017-02-16,2018-02-17,260,1216,24,30
NRCan/geo-deep-learning,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
RandolphVI/Next-Basket-Recommendation,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
akshaynagpal/w2n,Applied,2016-06-02,2017-06-03,53,1457,0,0
aleju/imgaug,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ELS-RD/anonymisation,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
textpipe/textpipe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
parlance/ctcdecode,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
wq2012/SpectralCluster,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
jmschrei/apricot,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
raphaelvallat/entropy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vita-epfl/openpifpaf,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vecto-ai/vecto,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
koalanlp/python-support,Tool,2017-03-05,2018-03-06,86,803,12,1
bmcfee/pumpp,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
theislab/scgen,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
namisan/mt-dnn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
adhaamehab/arabicnlp,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
clusterking/clusterking,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
datarobot/pic2vec,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Liebeck/spacy-sentiws,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
pycroscopy/pycroscopy,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Object-Detector,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sinhrks/daskperiment,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
nature1995/Face-Recognition-System,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sorenlind/lemmy,Tool,2017-02-11,2018-02-12,90,723,12,1
Zenohm/Friday,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
okfn-brasil/serenata-de-amor,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
