ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
duxuhao/Feature-Selection,Applied,2018-05-08,2019-05-09,5,2,0,0
kakaobrain/torchgpipe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ternaus/robot-surgery-segmentation,Applied,2018-05-13,2019-05-14,27,273,22,28
knorth55/chainer-dense-fusion,Applied,2018-02-02,2019-02-03,381,640,6,2
scikit-learn-contrib/mimic,Tool,2018-05-04,2019-05-05,40,197,17,0
AllenInstitute/mouse_connectivity_models,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jfilter/split-folders,Applied,2017-11-09,2018-11-10,63,997,2,0
apacha/MusicScoreClassifier,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
hoxo-m/densratio_py,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
CSAILVision/gandissect,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
nengo/nengo-dl,Applied,2018-08-08,2019-08-09,3713,1918,1058,413
cjekel/piecewise_linear_fit_py,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
tasoc/starclass,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
comtravo/ctparse,Applied,2017-11-05,2018-11-06,264,1158,45,1
gbolmier/funk-svd,Applied,2018-04-05,2019-04-06,20,733,0,0
qubvel/efficientnet,Applied,2018-08-05,2019-08-06,114,517,20,7
HunterMcGushion/hyperparameter_hunter,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
5hirish/adam_qas,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
fnl/syntok,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
vgrabovets/multi_rake,Applied,2018-08-11,2019-08-12,451,1097,0,0
kfoynt/LocalGraphClustering,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
JasonKessler/scattertext,Applied,2018-01-29,2019-01-30,223,1557,17,0
pyro-ppl/funsor,Applied,2018-05-02,2019-05-03,425,70,151,2
justusschock/shapenet,Applied,2018-02-10,2019-02-11,34,470,0,0
dbiir/UER-py,Applied,2018-08-05,2019-08-06,669,730,8,5
eyounx/ZOOpt,Applied,2017-03-23,2018-03-24,53,745,0,6
CyberZHG/keras-word-char-embd,Applied,2018-07-18,2019-07-19,172,1041,14,4
akoumjian/datefinder,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Erotemic/netharn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pandoraboxchain/pyrrha-pynode,Applied,2018-01-24,2019-01-25,110,273,34,6
marl/openl3,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jcreinhold/synthtorch,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
miguelvr/dropblock,Applied,2017-11-14,2018-11-15,73,634,5,9
CyberZHG/keras-pos-embd,Applied,2018-07-25,2019-07-26,152,988,6,6
polyaxon/polyaxon-schemas,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Speech-to-Text-Converter,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
arm61/pylj,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
lopuhin/transformer-lm,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
poldracklab/mriqc,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
philgooch/abbreviation-extraction,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
soaxelbrooke/python-bpe,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jerrygaoLondon/jgtextrank,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
OpenNMT/OpenNMT-py,Applied,2018-07-18,2019-07-19,2932,1259,481,101
rgal/gym-2048,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
HDI-Project/ATM,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
DrSleep/DenseTorch,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Mogeng/IOHMM,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
amoussawi/recoder,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
UGentBiomath/wwdata,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
skggm/skggm,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
PrincetonUniversity/ASPIRE-Python,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
anrputina/outlierdenstream,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-ResNet-50,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Image-Caption-Generator,Applied,2018-07-22,2019-07-23,132,411,1,1
kiudee/cs-ranking,Applied,2018-08-09,2019-08-10,1023,1148,50,17
IlyaGusev/summarus,Applied,2018-04-26,2019-04-27,131,765,0,0
msuzen/bristol,Applied,2017-01-20,2018-01-21,56,956,19,1
scikit-learn-contrib/lightning,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pyro-ppl/pyro,Applied,2018-08-07,2019-08-08,2880,763,290,17
jkoutsikakis/pytorch-wrapper,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
georgymh/decentralized-ml,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
sbl-sdsc/mmtf-pyspark,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
thuijskens/scikit-hyperband,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
priyankshah7/hypers,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
jungtaekkim/bayeso,Applied,2018-06-05,2019-06-06,392,1067,33,2
sherpa-ai/sherpa,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
justinshenk/fer,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
MycroftAI/mycroft-core,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Audio-Sample-Generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
stephenhky/PyShortTextCategorization,Applied,2018-07-07,2019-07-08,797,1192,127,84
permfl/dictlearn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
Kensuke-Mitsuzawa/JapaneseTokenizers,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
felixriese/susi,Applied,2018-04-12,2019-04-13,138,532,10,5
square/pysurvival,Tool,2018-03-31,2019-04-01,30,393,23,23
Axelrod-Python/axelrod-dojo,Applied,2017-08-19,2018-08-20,149,813,41,6
t-sakai-kure/pywsl,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
