ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
duxuhao/Feature-Selection,Applied,2018-05-08,2019-05-09,5,2,0,0
kakaobrain/torchgpipe,Applied,2019-09-19,2020-09-19,183,497,26,6
ternaus/robot-surgery-segmentation,Applied,2018-05-13,2019-05-14,27,273,22,28
knorth55/chainer-dense-fusion,Applied,2019-11-03,2020-11-03,381,640,0,5
scikit-learn-contrib/mimic,Tool,2018-10-16,2019-10-17,40,197,22,6
AllenInstitute/mouse_connectivity_models,Applied,2020-06-10,2021-06-11,126,1131,17,8
jfilter/split-folders,Applied,2020-06-27,2021-06-28,63,997,0,0
apacha/MusicScoreClassifier,Applied,2018-03-19,2019-03-20,38,695,3,7
hoxo-m/densratio_py,Tool,2019-08-04,2020-08-04,76,1367,0,3
CSAILVision/gandissect,Applied,2020-05-23,2021-05-24,48,906,0,2
nengo/nengo-dl,Applied,2019-10-29,2020-10-29,88,57,0,0
comtravo/ctparse,Applied,2019-04-24,2020-04-24,275,1436,76,0
gbolmier/funk-svd,Applied,2020-04-08,2021-04-09,20,733,0,0
qubvel/efficientnet,Applied,2019-12-15,2020-12-15,114,517,4,2
HunterMcGushion/hyperparameter_hunter,Applied,2020-01-21,2021-01-21,911,884,112,1
5hirish/adam_qas,Applied,2020-06-03,2021-06-04,230,1238,0,0
fnl/syntok,Applied,2019-08-07,2020-08-07,36,630,0,0
vgrabovets/multi_rake,Applied,2020-06-13,2021-06-14,451,1097,0,0
kfoynt/LocalGraphClustering,Applied,2020-02-27,2021-02-27,389,909,9,1
JasonKessler/scattertext,Applied,2020-05-22,2021-05-23,223,1557,4,1
justusschock/shapenet,Applied,2019-05-25,2020-05-25,34,470,9,1
marl/openl3,Applied,2020-08-08,2021-08-09,346,1195,45,7
jcreinhold/synthtorch,Applied,2019-01-04,2020-01-05,285,427,9,1
miguelvr/dropblock,Applied,2019-07-30,2020-07-30,73,634,0,0
CyberZHG/keras-pos-embd,Applied,2020-06-03,2021-06-04,152,988,14,0
polyaxon/polyaxon-schemas,Tool,2019-07-02,2020-07-02,127,309,129,20
OpenNMT/OpenNMT-py,Applied,2019-11-11,2020-11-11,2932,1259,141,32
HDI-Project/ATM,Applied,2019-02-21,2020-02-22,153,300,80,4
DrSleep/DenseTorch,Applied,2019-07-22,2020-07-22,18,25,0,0
Mogeng/IOHMM,Applied,2020-02-06,2021-02-06,92,1295,9,4
amoussawi/recoder,Applied,2020-04-11,2021-04-12,34,888,0,1
IBM/MAX-ResNet-50,Applied,2020-01-02,2021-01-02,431,1113,0,2
IBM/MAX-Image-Caption-Generator,Applied,2020-05-03,2021-05-04,359,1312,0,1
IlyaGusev/summarus,Applied,2020-05-23,2021-05-24,131,765,5,1
msuzen/bristol,Applied,2018-12-15,2019-12-16,56,956,4,0
scikit-learn-contrib/lightning,Applied,2020-05-20,2021-05-21,165,1742,87,41
jkoutsikakis/pytorch-wrapper,Applied,2019-11-09,2020-11-09,42,273,6,15
jungtaekkim/bayeso,Applied,2020-08-07,2021-08-08,453,1334,34,4
sherpa-ai/sherpa,Applied,2019-10-19,2020-10-19,125,374,8,13
justinshenk/fer,Applied,2019-11-11,2020-11-11,130,777,0,4
stephenhky/PyShortTextCategorization,Applied,2020-06-24,2021-06-25,806,1442,31,5
permfl/dictlearn,Applied,2020-02-16,2021-02-16,12,1033,0,0
Kensuke-Mitsuzawa/JapaneseTokenizers,Tool,2020-06-03,2021-06-04,185,1564,13,13
felixriese/susi,Applied,2019-09-10,2020-09-10,138,532,35,19
square/pysurvival,Tool,2019-04-28,2020-04-28,30,393,8,0
Axelrod-Python/axelrod-dojo,Applied,2018-10-28,2019-10-29,149,813,20,10
t-sakai-kure/pywsl,Tool,2019-04-04,2020-04-04,82,750,2,0
HealthCatalyst/healthcareai-py,Applied,2018-04-16,2019-04-17,899,727,4,0
BerkeleyAutomation/gqcnn,Applied,2020-06-11,2021-06-12,395,1162,103,6
IBM/MAX-Audio-Classifier,Applied,2020-05-20,2021-05-21,451,1293,0,1
jeffkinnison/shadho,Applied,2019-03-03,2020-03-03,100,1356,45,90
vene/sparse-structured-attention,Applied,2019-09-01,2020-09-01,38,1030,0,0
ubclaunchpad/minutes,Applied,2018-03-27,2019-03-28,373,548,28,3
guillaumegenthial/tf_metrics,Tool,2019-07-24,2020-07-24,12,675,0,0
makcedward/nlpaug,Applied,2020-05-14,2021-05-15,434,785,44,21
NickleDave/hybrid-vocal-classifier,Applied,2020-04-09,2021-04-10,165,1224,0,2
albarji/proxTV,Applied,2019-02-20,2020-02-21,203,1139,133,57
paris-saclay-cds/ramp-board,Applied,2019-11-07,2020-11-07,1792,714,635,82
NLPatVCU/medaCy,Applied,2020-04-23,2021-04-24,623,778,80,2
abdullahselek/koolsla,Applied,2020-06-02,2021-06-03,239,1199,0,4
intuit/foremast-brain,Applied,2018-10-30,2019-10-31,505,314,82,47
ErikGartner/hyperdock,Applied,2018-07-18,2019-07-19,379,411,0,1
titu1994/tfdiffeq,Applied,2019-08-27,2020-08-27,123,562,17,1
atomistic-machine-learning/schnetpack,Applied,2018-03-28,2019-03-29,356,195,93,11
nok/sklearn-porter,Applied,2020-06-01,2021-06-02,715,1777,12,38
benfred/implicit,Applied,2020-04-26,2021-04-27,669,1724,185,25
mila-iqia/babyai,Applied,2020-04-09,2021-04-10,627,906,1,13
SuperKogito/Voice-based-gender-recognition,Applied,2018-04-08,2019-04-09,13,26,0,0
duketemon/pyuplift,Applied,2018-12-02,2019-12-03,55,174,7,1
pathwayforte/pathway-forte,Applied,2020-03-02,2021-03-03,113,660,17,0
huggingface/neuralcoref,Applied,2020-02-25,2021-02-25,131,984,0,8
indix/whatthelang,Applied,2018-03-21,2019-03-22,36,504,0,8
IBM/MAX-Image-Resolution-Enhancer,Applied,2020-07-06,2021-07-07,309,1093,2,0
a-slide/pycoQC,Applied,2019-12-17,2020-12-17,110,540,0,7
samuelstjean/nlsam,Tool,2020-06-13,2021-06-14,826,1380,362,131
LexPredict/lexpredict-lexnlp,Tool,2020-05-10,2021-05-11,246,1317,0,24
Tiiiger/bert_score,Applied,2020-07-16,2021-07-17,142,696,85,3
DistrictDataLabs/yellowbrick,Applied,2020-07-10,2021-07-11,2344,1152,99,0
howl-anderson/seq2annotation,Applied,2020-05-21,2021-05-22,264,894,2,0
databricks/spark-sklearn,Tool,2018-12-03,2019-12-04,135,1210,12,22
platisd/bad-commit-message-blocker,Applied,2019-11-16,2020-11-16,96,564,26,0
PPPLDeepLearning/plasma-python,Applied,2018-09-26,2019-09-27,468,843,3,0
MathBunny/strava-wind-analysis-ml,Applied,2018-05-05,2019-05-06,37,408,18,6
chakki-works/chariot,Applied,2020-01-10,2021-01-10,60,858,8,0
scikit-learn-contrib/stability-selection,Tool,2019-08-12,2020-08-12,86,895,0,1
HoloClean/holoclean,Applied,2019-12-01,2020-12-01,366,737,11,1
cjekel/tindetheus,Applied,2019-12-01,2020-12-01,419,490,10,69
mholtzscher/spacy_readability,Applied,2018-04-01,2019-04-02,525,366,131,10
IlyaGusev/rnnmorph,Applied,2017-06-12,2018-06-13,86,1471,22,1
cbg-ethz/pybda,Applied,2018-10-23,2019-10-24,135,253,14,18
fdtomasi/regain,Applied,2020-05-06,2021-05-07,260,1216,6,11
ELS-RD/anonymisation,Applied,2019-12-10,2020-12-10,35,587,9,1
textpipe/textpipe,Applied,2020-06-09,2021-06-10,1528,1243,13,6
parlance/ctcdecode,Tool,2020-06-07,2021-06-08,57,298,23,33
wq2012/SpectralCluster,Tool,2019-06-30,2020-06-30,45,527,3,0
raphaelvallat/entropy,Applied,2020-03-29,2021-03-30,87,895,6,0
vita-epfl/openpifpaf,Applied,2020-01-21,2021-01-21,1500,676,171,26
vecto-ai/vecto,Applied,2018-12-09,2019-12-10,882,594,34,6
koalanlp/python-support,Tool,2019-04-10,2020-04-10,86,803,34,23
theislab/scgen,Applied,2019-08-03,2020-08-03,253,526,17,10
adhaamehab/arabicnlp,Tool,2018-06-12,2019-06-13,25,37,0,0
clusterking/clusterking,Applied,2019-12-10,2020-12-10,459,686,20,3
datarobot/pic2vec,Applied,2020-06-09,2021-06-10,203,1415,12,3
Liebeck/spacy-sentiws,Applied,2018-08-05,2019-08-06,14,468,0,0
i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7,Tool,2019-11-10,2020-11-10,262,919,57,9
IBM/MAX-Object-Detector,Applied,2020-06-10,2021-06-11,997,1307,14,37
sinhrks/daskperiment,Tool,2018-04-24,2019-04-25,287,88,385,133
nature1995/Face-Recognition-System,Applied,2020-05-09,2021-05-10,128,832,0,0
sorenlind/lemmy,Tool,2018-10-17,2019-10-18,90,723,6,6
Zenohm/Friday,Applied,2020-05-23,2021-05-24,20,13,0,0
okfn-brasil/serenata-de-amor,Applied,2020-06-01,2021-06-02,928,894,2,30
VSainteuf/izitorch,Tool,2019-01-20,2020-01-21,16,333,0,0
CyberZHG/keras-gpt-2,Applied,2020-06-15,2021-06-16,160,847,6,2
ealcobaca/pymfe,Applied,2020-04-18,2021-04-19,896,758,121,32
lucasmaystre/choix,Applied,2019-12-17,2020-12-17,65,1477,0,0
dmbee/seglearn,Applied,2020-03-12,2021-03-13,251,1094,1,0
IBM/MAX-Text-Sentiment-Classifier,Applied,2020-06-22,2021-06-23,315,1092,0,1
jawahar273/practNLPTools-lite,Applied,2020-06-11,2021-06-12,909,623,687,229
tensorly/tensorly,Tool,2019-03-12,2020-03-12,562,1227,101,18
henrysky/astroNN,Applied,2019-12-12,2020-12-12,680,1007,135,13
ScottfreeLLC/AlphaPy,Applied,2020-02-09,2021-02-09,83,1359,0,0
vkuznet/MLaaS4HEP,Applied,2020-03-30,2021-03-31,79,657,0,2
hawk31/pyGPGO,Applied,2019-11-24,2020-11-24,183,1340,0,0
Cloud-CV/EvalAI,Applied,2020-08-05,2021-08-06,15804,1978,245,109
Legilibre/legi.py,Applied,2020-05-31,2021-06-01,169,1623,9,0
oseiskar/autosubsync,Applied,2020-03-06,2021-03-07,40,866,0,1
apple/turicreate,Applied,2020-03-29,2021-03-30,4559,969,149,35
DrSleep/light-weight-refinenet,Applied,2019-06-25,2020-06-25,18,475,0,0
mozilla/TTS,Applied,2020-01-13,2021-01-13,829,543,76,6
sethah/deeptennis,Applied,2019-05-19,2020-05-19,29,450,2,6
scikit-garden/scikit-garden,Applied,2020-03-16,2021-03-17,211,1425,6,3
netrack/keras-metrics,Applied,2018-10-06,2019-10-07,105,500,34,0
chakki-works/chazutsu,Tool,2018-12-01,2019-12-02,9,64,0,0
src-d/ml-core,Tool,2018-10-17,2019-10-18,195,183,184,58
dirty-cat/dirty_cat,Applied,2020-04-01,2021-04-02,515,1113,34,1
OFAI/hub-toolbox-python3,Applied,2019-05-21,2020-05-21,175,1365,6,0
daniel-cortez-stevenson/crypto-predict,Applied,2018-03-14,2019-03-15,136,1198,18,17
mikgroup/sigpy,Applied,2020-06-15,2021-06-16,475,1271,22,4
maximecb/gym-miniworld,Applied,2020-05-21,2021-05-22,374,932,2,0
cgre-aachen/bayseg,Tool,2018-11-21,2019-11-22,20,720,0,0
leopepe/GOApy,Applied,2020-08-03,2021-08-04,167,1007,21,5
alvations/sacremoses,Applied,2020-06-14,2021-06-15,68,56,9,0
imgarylai/bert-embedding,Applied,2018-11-13,2019-11-14,66,276,11,5
braincreators/octconv,Applied,2019-01-08,2020-01-09,42,252,4,2
alvations/pywsd,Applied,2020-04-20,2021-04-21,112,1553,0,0
geomstats/geomstats,Tool,2020-04-17,2021-04-18,143,18,147,24
kpe/bert-for-tf2,Tool,2019-11-16,2020-11-16,227,542,9,0
wzpan/wukong-robot,Applied,2020-06-14,2021-06-15,270,841,0,0
IBM/MAX-Audio-Embedding-Generator,Applied,2020-04-19,2021-04-20,442,1124,0,0
zuoxingdong/lagom,Applied,2019-02-26,2020-02-27,663,588,56,11
esowc/ml_drought,Applied,2020-05-28,2021-05-29,4321,749,748,27
google/tangent,Applied,2019-12-26,2020-12-26,181,1143,3,9
wesselb/stheno,Applied,2019-12-04,2020-12-04,243,916,16,0
criteo/tf-yarn,Applied,2019-10-29,2020-10-29,118,777,0,3
nicodv/kmodes,Applied,2020-03-07,2021-03-08,194,1674,3,9
alvinwan/timefhuman,Applied,2019-02-23,2020-02-24,44,566,2,3
ikegami-yukino/pymlask,Applied,2019-02-24,2020-02-25,77,1109,7,4
loli/medpy,Applied,2019-05-02,2020-05-02,148,1005,0,0
maxpumperla/elephas,Applied,2020-04-23,2021-04-24,236,1708,37,21
JoergFranke/ADNC,Applied,2018-02-20,2019-02-21,51,245,3,2
nlppln/nlppln,Applied,2018-04-22,2019-04-23,91,625,20,0
BloodAxe/pytorch-toolbelt,Applied,2020-06-05,2021-06-06,549,810,178,15
ikegami-yukino/neologdn,Tool,2020-05-02,2021-05-03,62,1644,0,0
neka-nat/tensorboard-chainer,Tool,2019-05-11,2020-05-11,89,996,0,20
vecxoz/vecstack,Tool,2019-09-15,2020-09-15,51,929,7,0
innodatalabs/tbert,Tool,2018-02-19,2019-02-20,14,100,0,0
sintefneodroid/neo,Tool,2019-11-18,2020-11-18,266,949,13,3
pymc-learn/pymc-learn,Applied,2020-05-22,2021-05-23,69,944,0,90
wkentaro/chainer-cyclegan,Applied,2018-03-18,2019-03-19,12,361,0,0
shineware/PyKOMORAN,Applied,2018-05-14,2019-05-15,14,9,0,0
snipsco/snips-nlu-metrics,Applied,2020-06-08,2021-06-09,327,1203,66,0
verifid/mocr,Applied,2020-03-31,2021-04-01,218,859,0,11
scikit-optimize/scikit-optimize,Applied,2020-05-12,2021-05-13,251,443,101,17
MisaOgura/flashtorch,Tool,2020-04-27,2021-04-28,275,691,29,39
modAL-python/modAL,Tool,2020-03-22,2021-03-23,330,1171,21,79
neuronets/nobrainer,Tool,2020-05-07,2021-05-08,472,792,48,1
iamDecode/sklearn-pmml-model,Tool,2020-06-05,2021-06-06,101,493,12,2
NVIDIA/DIGITS,Tool,2019-06-14,2020-06-14,279,1141,4,15
r9y9/nnmnkwii,Tool,2020-05-24,2021-05-25,476,1378,24,8
raviqqe/tensorflow-qnd,Tool,2018-04-19,2019-04-20,326,850,0,0
torchgan/torchgan,Tool,2020-03-21,2021-03-22,621,889,2,4
Mariewelt/OpenChem,Tool,2018-04-17,2019-04-18,16,56,0,0
reiinakano/scikit-plot,Tool,2020-02-27,2021-02-27,341,1471,0,15
Maluuba/nlg-eval,Tool,2020-05-06,2021-05-07,87,1020,0,3
pytorch/ignite,Tool,2019-11-26,2020-11-26,5307,1094,200,30
yxonic/fret,Tool,2019-11-26,2020-11-26,202,716,66,10
CrowdTruth/CrowdTruth-core,Tool,2020-04-13,2021-04-14,142,973,0,0
tensorflow/cleverhans,Tool,2019-12-10,2020-12-10,328,599,6,4
rsokl/MyGrad,Tool,2019-12-21,2020-12-21,984,686,195,16
chakki-works/seqeval,Tool,2019-11-11,2020-11-11,152,526,0,6
alan-turing-institute/skpro,Tool,2019-04-08,2020-04-08,52,851,8,0
ClarityNLP/ClarityNLP,Tool,2020-08-05,2021-08-06,1589,1344,0,0
scikit-learn/scikit-learn,Tool,2019-11-04,2020-11-04,421,252,374,204
nielstron/quantulum3,Tool,2020-05-17,2021-05-18,799,1308,188,38
vzhou842/profanity-check,Tool,2020-05-14,2021-05-15,58,867,9,4
nlgranger/SeqTools,Tool,2019-12-18,2020-12-18,204,1274,64,8
google/uis-rnn,Tool,2019-08-29,2020-08-29,102,612,13,1
antoinecarme/pyaf,Tool,2020-06-15,2021-06-16,372,319,15,35
Rostlab/nalaf,Tool,2020-06-02,2021-06-03,262,1700,6,1
gosha20777/keras2cpp,Tool,2020-05-17,2021-05-18,57,836,0,1
datamade/usaddress,Tool,2019-02-08,2020-02-09,70,1225,0,6
kundajelab/dragonn,Tool,2019-10-10,2020-10-10,378,1533,0,26
RasaHQ/rasa_core,Tool,2018-06-05,2019-06-06,5357,396,4013,383
inspirehep/magpie,Tool,2019-04-09,2020-04-09,179,1318,6,9
goulu/Goulib,Tool,2019-09-02,2020-09-02,215,1464,31,23
fastnlp/fastNLP,Tool,2020-06-12,2021-06-13,97,272,26,2
feedly/transfer-nlp,Tool,2019-05-29,2020-05-29,441,401,30,5
scikit-learn-contrib/hdbscan,Tool,2020-04-07,2021-04-08,508,1692,37,52
bhargavvader/pycobra,Tool,2019-05-19,2020-05-19,191,1045,0,0
jfilter/text-classification-keras,Tool,2019-06-25,2020-06-25,162,736,3,1
1adrianb/face-alignment,Tool,2019-12-20,2020-12-20,87,801,27,21
bmcfee/muda,Tool,2020-05-03,2021-05-04,134,1718,14,36
proycon/foliapy,Tool,2020-03-25,2021-03-26,404,930,73,2
RaRe-Technologies/gensim,Tool,2020-01-18,2021-01-18,7826,1896,688,103
OlafenwaMoses/ImageAI,Tool,2020-04-11,2021-04-12,149,942,15,2
flennerhag/mlens,Tool,2019-02-25,2020-02-26,640,1139,0,0
proycon/pynlpl,Tool,2018-03-13,2019-03-14,195,952,21,1
alfredfrancis/ai-chatbot-framework,Tool,2019-12-31,2020-12-31,264,1163,0,25
BehaviorTree/BehaviorTree.CPP,Tool,2020-04-01,2021-04-02,656,897,187,6
DeNA/ChainerPruner,Tool,2018-10-07,2019-10-08,58,117,12,8
chakki-works/sumeval,Tool,2020-02-20,2021-02-20,20,626,0,0
dssg/triage,Tool,2017-10-16,2018-10-17,359,203,97,13
jmaggio14/imagepypelines,Tool,2017-09-25,2018-09-26,3,0,0,0
thehyve/tmtk,Tool,2019-08-01,2020-08-01,664,1179,85,17
amzn/xfer,Tool,2020-04-13,2021-04-14,699,1301,39,50
BIMSBbioinfo/maui,Tool,2020-04-09,2021-04-10,23,585,0,0
CPJKU/madmom,Tool,2019-04-15,2020-04-15,980,1008,95,87
kakao/n2,Tool,2020-05-20,2021-05-21,62,1266,0,0
JohnVinyard/zounds,Tool,2019-03-06,2020-03-06,469,1315,2,5
ysig/GraKeL,Tool,2020-04-29,2021-04-30,717,1265,98,38
