name,num
fi if,"[5.209143266934966, 0.010268482663102511, 0.05348999732613887]"
if travisosname,"[5.592907433731305, 0.008956152004231761, 0.05009092912209535]"
os linux,"[5.480221335854061, 0.008929905391054347, 0.048937858051214235]"
sudo aptget,"[5.6029582867577545, 0.007552967684362268, 0.0423189628767111]"
brew install,"[4.759325257026447, 0.008433238710927878, 0.040136525995452206]"
language cpp,"[7.50298777122627, 0.005011084146641847, 0.0375981030728396]"
addons apt,"[7.543603595330659, 0.004728428312423531, 0.03566938881786143]"
compiler clang,"[5.358618013289405, 0.005626870071188891, 0.030152247321911827]"
travisosname osx,"[5.500149447971356, 0.005479485243346484, 0.030137987736359357]"
z tests,"[7.559780121261504, 0.003886517720501835, 0.02938121940438035]"
services docker,"[6.856915319256505, 0.004225704721563813, 0.028975299439945455]"
os osx,"[4.80105841049993, 0.0053805557013700735, 0.025832362203226142]"
git clone,"[7.008361253482388, 0.0036684689341048493, 0.02570995553738426]"
apt sources,"[7.463300545965637, 0.0032646748852215414, 0.024365249853274235]"
bootstrapsh configure,"[7.790012285707547, 0.003091043444201719, 0.024079266405987163]"
bash bootstrapsh,"[7.667183672697959, 0.003091043444201719, 0.023699597826983488]"
configure openmpflag,"[7.63080053712363, 0.003091043444201719, 0.023587135974286952]"
if z,"[5.612896532511204, 0.0041833063464310665, 0.023480465686315045]"
docker exec,"[6.524580001305981, 0.0035695393921284387, 0.02328974533175512]"
aptget install,"[4.5840763642538285, 0.005045406640796928, 0.023128529330126504]"
compiler gcc,"[5.452284907894629, 0.004173211495208984, 0.022753538052780322]"
dtravisdisableunittestson dtravisdisablelibshoguntestson,"[8.556005147202377, 0.0026569648416521637, 0.022733004861111662]"
echo travisfold,"[6.320189350475911, 0.003464552939418779, 0.02189663059187458]"
depth1 singlebranch,"[8.559186790028665, 0.002519674865031839, 0.021566367819947776]"
osx then,"[4.51739740313911, 0.0046315177406915375, 0.02092240621439267]"
tests then,"[5.61647004699072, 0.003664430993616016, 0.020581166914908796]"
sources ubuntutoolchainrtest,"[7.671112567289569, 0.002628699258230332, 0.02016504791543547]"
clone depth1,"[7.975434415598379, 0.0025237128055206723, 0.02012770596423591]"
ccclang cxxclang,"[8.765635981695382, 0.0022773984357018547, 0.019962845672644957]"
binsh c,"[7.341464574140765, 0.0026569648416521637, 0.01950601325972689]"
dtravisdisablelibshoguntestson ccclang,"[8.549624353780654, 0.0022773984357018547, 0.019470901129138542]"
singlebranch https,"[7.373842942663195, 0.002630718228474749, 0.01939850304317395]"
devenv binsh,"[8.33361272586593, 0.0022773984357018547, 0.018978956585632138]"
t devenv,"[8.24022927929661, 0.0022773984357018547, 0.01876628527049472]"
travisfold start,"[7.822551898145065, 0.0021825068342142774, 0.01707277297869747]"
exec t,"[7.481935175689891, 0.0022773984357018547, 0.01703934746513884]"
travisfold end,"[7.770743995995392, 0.0021825068342142774, 0.016959701878189508]"
cache ccache,"[7.284374253500069, 0.00229758813814602, 0.016736491878658027]"
env cmakeoptions,"[5.488921855581992, 0.0030365312476024727, 0.016667282730122867]"
