name,num
fi if travisosname,"[10.99790653485227, 0.005622832130700058, 0.06183938223460348]"
travisosname osx then,"[11.175014805519133, 0.0046315177406915375, 0.051757279324252455]"
if z tests,"[13.2979754233887, 0.003886517720501835, 0.051682817129798074]"
if travisosname osx,"[11.013913183488512, 0.004690067877779617, 0.051656000430532915]"
sudo aptget install,"[10.19127051297614, 0.005045406640796928, 0.05141910392432773]"
addons apt sources,"[15.089503186069315, 0.0032646748852215414, 0.04926232208203093]"
z tests then,"[13.392311910625793, 0.003664430993616016, 0.04907520284147008]"
bootstrapsh configure openmpflag,"[15.871910851587096, 0.003091043444201719, 0.04906076598475242]"
bash bootstrapsh configure,"[15.553775997379866, 0.003091043444201719, 0.04807739732928309]"
fi if z,"[11.541491938654929, 0.003775474357058926, 0.04357460685659399]"
clone depth1 singlebranch,"[16.534621205627047, 0.002519674865031839, 0.04166186945464091]"
depth1 singlebranch https,"[15.941860334345485, 0.002519674865031839, 0.04016830478629839]"
dtravisdisablelibshoguntestson ccclang cxxclang,"[17.321641128897763, 0.0022773984357018547, 0.039448278410740674]"
dtravisdisableunittestson dtravisdisablelibshoguntestson ccclang,"[17.105629500983035, 0.0022773984357018547, 0.03895633386723426]"
t devenv binsh,"[16.79623442649899, 0.0022773984357018547, 0.03825171800859044]"
git clone depth1,"[15.09896747018589, 0.0025237128055206723, 0.0381054575546482]"
docker env cmakeoptions,"[12.345837174838493, 0.0030365312476024727, 0.03748852035920932]"
services docker env,"[12.058418624960275, 0.0030668158012687207, 0.03698094877734121]"
exec t devenv,"[16.037940322892272, 0.0022773984357018547, 0.03652478020323456]"
apt sources ubuntutoolchainrtest,"[15.166095694623678, 0.0023743090074338485, 0.03600899761534871]"
devenv binsh c,"[15.675077300006699, 0.0022773984357018547, 0.03569839652254091]"
if travisosname linux,"[10.486908978842905, 0.003373699278420035, 0.03537967725477889]"
clang services docker,"[13.01170375488799, 0.0026569648416521637, 0.03457163940673083]"
configure openmpflag make,"[13.416640877089634, 0.0024914092816100074, 0.03342634360920935]"
docker exec t,"[14.3388504949464, 0.0022773984357018547, 0.03265527568695369]"
compiler clang services,"[12.162656824602749, 0.0026569648416521637, 0.03231575156405025]"
sources ubuntutoolchainrtest packages,"[15.135338153625213, 0.002119918756637365, 0.03208568723991923]"
make sudo make,"[9.555615026388942, 0.0032949594388877895, 0.03148536392557824]"
sudo make install,"[8.702277070785705, 0.0034665719096631954, 0.03016706924369184]"
binsh c cd,"[12.979536954943043, 0.0022773984357018547, 0.0295595771573217]"
echo travisfold start,"[14.365133669957423, 0.0020209892146609543, 0.029031780214146884]"
ccclang cxxclang compiler,"[14.51046996483285, 0.0018978320297515455, 0.027538434666007566]"
os linux env,"[9.40078030765963, 0.0026670596928742465, 0.02507244224012496]"
c cd optshogunbuild,"[12.938894970445695, 0.0018978320297515455, 0.024555849304503018]"
osx then brew,"[10.030830227694423, 0.002372290037189432, 0.023796038613898084]"
openmpflag make sudo,"[10.936894299966028, 0.0021683740425033618, 0.02371527770564931]"
aptget install qq,"[11.684596468153217, 0.002027046125394204, 0.023685215997564776]"
name ubuntu 1604,"[16.95229098561472, 0.0013930894686474112, 0.023616058041506308]"
then sudo aptget,"[9.840995282037746, 0.002358157245478516, 0.0232066143270572]"
cd git clone,"[11.939328807392506, 0.001926097613173377, 0.02299631271881085]"
installtest true then,"[12.69262433113689, 0.0017686179341088871, 0.02244840302295552]"
matrix include os,"[13.073954004882232, 0.0016616125111548106, 0.02172384554477486]"
os linux dist,"[11.006194599131412, 0.0019422493751287094, 0.02137677458270796]"
branches only master,"[17.385681554809405, 0.0011689837715171754, 0.020323579594337688]"
echo travisfold end,"[13.82789894063751, 0.0014435637247578244, 0.01996145330032146]"
travisosname linux then,"[9.912379592791808, 0.002000799512216789, 0.019832684254165504]"
exec build binbash,"[14.741603941907648, 0.0012820461052045016, 0.018899415918190027]"
sudo aptget update,"[11.75847404596933, 0.0015990244335778979, 0.01880208730109652]"
cxxclang compiler clang,"[12.240726352980332, 0.0015182656238012363, 0.018584674032087915]"
